announcement_date,effective_date,index_name,action,company_name,ticker,gics_sector,source_type,source_url,notes
2023-05-01,2023-05-04,S&P 500,Deletion,First Republic Bank,FRC,Financials,S&P DJI Press Release,https://press.spglobal.com/2023-05-01-Axon-Enterprise-Set-to-Join-S-P-500-STAG-Industrial-to-Join-S-P-MidCap-400,"Removed following FDIC receivership"
2023-06-02,2023-06-20,S&P 500,Addition,Palo Alto Networks,PANW,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2023-06-02-Palo-Alto-Networks-Set-to-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-06-02,2023-06-20,S&P 500,Deletion,DISH Network,DISH,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2023-06-02-Palo-Alto-Networks-Set-to-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-06-28,2023-07-03,S&P 500,Addition,Fortrea Holdings,FTRE,Health Care,S&P DJI Press Release,https://press.spglobal.com/2023-06-28-Fortrea-Holdings-and-PHINIA-Set-to-Join-S-P-SmallCap-600,"Temporary S&P 500 addition associated with Labcorp spin-off"
2023-06-28,2023-07-05,S&P 500,Addition,PHINIA,PHIN,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2023-06-28-Fortrea-Holdings-and-PHINIA-Set-to-Join-S-P-SmallCap-600,"Temporary S&P 500 addition associated with BorgWarner spin-off"
2023-06-28,2023-07-06,S&P 500,Deletion,Fortrea Holdings,FTRE,Health Care,S&P DJI Press Release,https://press.spglobal.com/2023-06-28-Fortrea-Holdings-and-PHINIA-Set-to-Join-S-P-SmallCap-600,"Moved from temporary S&P 500 membership to S&P SmallCap 600"
2023-06-28,2023-07-06,S&P 500,Deletion,PHINIA,PHIN,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2023-06-28-Fortrea-Holdings-and-PHINIA-Set-to-Join-S-P-SmallCap-600,"Moved from temporary S&P 500 membership to S&P SmallCap 600"
2023-08-21,2023-08-25,S&P 500,Addition,Kenvue,KVUE,Consumer Staples,S&P DJI Press Release,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600,"Added following Johnson & Johnson split-off exchange offer"
2023-08-21,2023-08-25,S&P 500,Deletion,Advance Auto Parts,AAP,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600,"Replaced by Kenvue"
2023-09-01,2023-09-18,S&P 500,Addition,Blackstone,BX,Financials,S&P DJI Press Release,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-09-01,2023-09-18,S&P 500,Addition,Airbnb,ABNB,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
