analysis_month_number,portfolio,security_count,target_weight_sum,target_weight_one_way_turnover,security_overlap_count
19,LOSER,107,1.0,0.223984348984349,86.0
20,LOSER,107,1.0,0.21744921744921744,85.0
21,LOSER,107,1.0,0.18882367632367633,86.0
22,LOSER,105,1.0,0.24698218448218448,83.0
23,LOSER,105,1.0,0.2432067932067932,79.0
24,LOSER,105,1.0,0.20240592740592742,84.0
25,LOSER,104,1.0,0.25965700965700966,76.0
26,LOSER,104,1.0,0.24587079587079588,79.0
27,LOSER,103,1.0,0.3024184149184149,73.0
28,LOSER,103,1.0,0.3611093452002543,66.0
29,LOSER,104,1.0,0.2728809069718161,79.0
30,LOSER,104,1.0,0.3580101716465353,71.0
31,LOSER,104,1.0,0.24458004117095028,82.0
32,LOSER,104,1.0,0.2568363454727091,79.0
33,LOSER,104,1.0,0.22554263917900283,79.0
34,LOSER,105,1.0,0.2951041382859565,75.0
35,LOSER,105,1.0,0.2193442920715648,79.0
36,LOSER,105,1.0,0.2147242908606545,82.0
37,LOSER,105,1.0,0.22370697484333849,83.0
38,LOSER,105,1.0,0.2019809735718827,86.0
39,LOSER,105,1.0,0.2949610995065541,76.0
40,LOSER,105,1.0,0.17905200859746315,85.0
41,LOSER,106,1.0,0.25988140647231556,81.0
42,LOSER,107,1.0,0.2476372112735749,78.0
43,LOSER,107,1.0,0.21110102019192928,85.0
44,LOSER,107,1.0,0.19554157963248872,85.0
45,LOSER,107,1.0,0.16169625828716738,89.0
46,LOSER,106,1.0,0.21196682105773015,82.0
47,LOSER,106,1.0,0.2618048618048618,77.0
48,LOSER,105,1.0,0.19792707292707293,83.0
49,LOSER,105,1.0,0.1760822510822511,86.0
50,LOSER,105,1.0,0.18111471861471862,87.0
51,LOSER,106,1.0,0.24764364423455335,79.0
52,LOSER,106,1.0,0.19988685556867375,84.0
53,LOSER,106,1.0,0.17468516332152698,86.0
54,LOSER,106,1.0,0.19750590318772138,84.0
55,LOSER,106,1.0,0.20055096418732782,84.0
56,LOSER,106,1.0,0.2657418339236521,74.0
57,LOSER,105,1.0,0.22556572215663126,83.0
58,LOSER,105,1.0,0.2216991341991342,82.0
59,LOSER,104,1.0,0.2824675324675325,78.0
60,LOSER,106,1.0,0.22781385281385283,83.0
