security_key,latest_project_ticker,canonical_company_name,membership_company_name,membership_valid_from,membership_valid_to_exclusive,left_censored,right_censored,entry_source_url,exit_source_url,stage3b2_candidate_sec_cik,resolved_sec_cik,cik_resolution_basis,known_in_membership_public_name_event_count,known_in_membership_legal_only_name_event_count,known_in_membership_ticker_only_event_count,unexpected_in_membership_sec_former_name_signal_count,final_no_nport_disposition,name_state_resolution_basis,resolution_status
EMN,EMN,Eastman Chemical Co,Eastman Chemical Co,2021-01-01,2025-11-04,True,False,,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,0000915389,0000915389,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ENPH,ENPH,Enphase Energy,Enphase Energy,2021-01-07,2025-09-22,False,False,https://press.spglobal.com/2020-12-30-Enphase-Energy-Set-to-Join-S-P-500-Capri-Holdings-Brooks-Automation-to-Join-S-P-MidCap-400-Celsius-Holdings-e-l-f-Beauty-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0001463101,0001463101,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
EPAM,EPAM,EPAM Systems,EPAM Systems,2021-12-14,2026-01-01,False,True,https://press.spglobal.com/2021-12-07-EPAM-Systems-Set-to-Join-S-P-500,,0001352010,0001352010,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ETSY,ETSY,Etsy,Etsy,2021-01-01,2024-09-23,True,False,,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0001370637,0001370637,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
FLIR,FLIR,FLIR Systems,FLIR Systems,2021-01-01,2021-05-14,True,False,,https://press.spglobal.com/2021-05-10-Charles-River-Laboratories-International-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,0000354908,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
FLS,FLS,Flowserve,Flowserve,2021-01-01,2021-03-22,True,False,,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,0000030625,0000030625,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
FMC,FMC,FMC,FMC,2021-01-01,2025-03-24,True,False,,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0000037785,0000037785,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
FRC,FRC,First Republic Bank,First Republic Bank,2021-01-01,2023-05-04,True,False,,https://press.spglobal.com/2023-05-01-Axon-Enterprise-Set-to-Join-S-P-500-STAG-Industrial-to-Join-S-P-MidCap-400,0001132979,0001132979,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
FTI,FTI,TechnipFMC,TechnipFMC,2021-01-01,2021-02-12,True,False,,https://press.spglobal.com/2021-02-08-Monolithic-Power-Systems-Set-to-Join-S-P-500-Iridium-Communications-to-Join-S-P-MidCap-400-Collegium-Pharmaceutical-to-Join-S-P-SmallCap-600,0001681459,0001681459,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
FTRE,FTRE,Fortrea Holdings,Fortrea Holdings,2023-07-03,2023-07-06,False,False,https://press.spglobal.com/2023-06-28-Fortrea-Holdings-and-PHINIA-Set-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2023-06-28-Fortrea-Holdings-and-PHINIA-Set-to-Join-S-P-SmallCap-600,0001965040,0001965040,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
GPS,GPS,Gap,Gap,2021-01-01,2022-02-03,True,False,,https://press.spglobal.com/2022-01-26-Constellation-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,0000039911,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
HBI,HBI,Hanesbrands,Hanesbrands,2021-01-01,2021-12-20,True,False,,https://press.spglobal.com/2021-12-03-Signature-Bank%2C-SolarEdge-Technologies-and-FactSet-Research-Systems-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,0001359841,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
HFC,HFC,HollyFrontier,HollyFrontier,2021-01-01,2021-06-04,True,False,,https://press.spglobal.com/2021-05-27-Organon-Set-to-Join-S-P-500-HollyFrontier-to-Join-S-P-MidCap-400-Service-Properties-Trust-to-Join-S-P-SmallCap-600,,0000048039,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ILMN,ILMN,Illumina,Illumina,2021-01-01,2024-06-24,True,False,,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0001110803,0001110803,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
IPGP,IPGP,IPG Photonics,IPG Photonics,2021-01-01,2022-06-21,True,False,,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,0001111928,0001111928,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
