date,window_id,source_url,source_file_sha256,source_file_bytes,parsed_rows,malformed_rows,malformed_row_rate,total_source_document_weight,active_security_count,unique_active_alias_count,status,manifest_sha256,config_sha256,script_version
2024-10-09,W2024,https://data.gdeltproject.org/gkg/20241009.gkg.csv.zip,33866611c5e937458fc9b9e7cef85b4134c59d4eca0a4851237fb1e905693260,42841932,108974,1,9.176416609314063e-06,119764,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2024-10-10,W2024,https://data.gdeltproject.org/gkg/20241010.gkg.csv.zip,edde2f07fd8143edf2341e9d49c8cd912ba97ca43631f7943f11c883cde818b6,42481793,106783,1,9.364698831285586e-06,118509,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2024-10-11,W2024,https://data.gdeltproject.org/gkg/20241011.gkg.csv.zip,385e38ad89c43ee0060f876b600e979b7aadeb5eb5a33a224f8362406efac6ab,39699943,100077,1,9.99220607925818e-06,112517,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2024-10-12,W2024,https://data.gdeltproject.org/gkg/20241012.gkg.csv.zip,73444e88ae9e1aef6630a80c3f7f277663b0479061db01cdc66d0d2faf6e0204,22500122,56576,1,1.7675026954416105e-05,62304,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2024-10-13,W2024,https://data.gdeltproject.org/gkg/20241013.gkg.csv.zip,ff2c523416cec6b3cc996b5655b272bec28a95754f3605662ba5c18a5c3a0ceb,20966741,52652,1,1.8992270146050556e-05,57270,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-08,W2025,https://data.gdeltproject.org/gkg/20251208.gkg.csv.zip,cb96e18727590e87514a72c53983db26d685791f7dca242c78c02deba0dc093e,30676303,79280,1,1.2613362596334557e-05,87099,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-09,W2025,https://data.gdeltproject.org/gkg/20251209.gkg.csv.zip,f05fb2f7d41c7f4c6f1dbea89cd5f3fbd70e0b746d43a82e80d492583a4a5db9,35307628,91337,1,1.094834570496398e-05,101403,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-10,W2025,https://data.gdeltproject.org/gkg/20251210.gkg.csv.zip,2cb340c0bb1374382fad7da4044dbc07563653e70eb33adde5895533ab98b5d3,35419553,92355,1,1.0827666854346225e-05,103038,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-11,W2025,https://data.gdeltproject.org/gkg/20251211.gkg.csv.zip,48140bf9b397ca5f5f6fd3d78fc02af7f0666502609946a15a37ab122d271672,36345424,92914,1,1.0762524888338805e-05,103418,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-12,W2025,https://data.gdeltproject.org/gkg/20251212.gkg.csv.zip,4476a21fbabe886c97444343cc5587fe0759e597bb685d8f363cef74b4aa52bc,33222311,85894,1,1.1642121194481635e-05,96355,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-13,W2025,https://data.gdeltproject.org/gkg/20251213.gkg.csv.zip,de810d7deb0e387a502a49d2db131ef07bef3694690d10d262d398b0015889cb,19600113,51333,1,1.9480266490045583e-05,57998,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2025-12-14,W2025,https://data.gdeltproject.org/gkg/20251214.gkg.csv.zip,0ba539479aed3d428ff664fb8c2a40f805057758dd7fc278a2d5c4194afef613,17742733,44220,1,2.2613690328124646e-05,48170,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
