filename,catalog_md5,catalog_size_bytes
20130907.gkg.csv.zip,62ff7d7b825ec2280b6af8b644fac7ad,11426222
20130908.gkg.csv.zip,e9ac949f133b047fc4c4cc45a14300eb,11339715
20130909.gkg.csv.zip,922e378b953a06403ed7011c27b2ed51,20070831
20130910.gkg.csv.zip,f802342851ecb33cc1cd954f37f728df,22098676
20130911.gkg.csv.zip,1708a5c2f8ac795d0c69e021577deefa,22288880
20130912.gkg.csv.zip,d0a1e37dbaf1a2f90b1808199ac055d3,18772753
20130913.gkg.csv.zip,8dac994bd7c5a58b959ece98266636ab,19736524
20130914.gkg.csv.zip,367a637a05896c0138e187b1ce673fa3,11605240
20130915.gkg.csv.zip,6d9963fd6d4992407bb667b2b7ccfacf,10086675
20130916.gkg.csv.zip,4b96eded5a197b118acb71e992d7058a,20413813
20130917.gkg.csv.zip,6fd3f5f4d69b3b236ab44f3b216d5c62,21613062
20130918.gkg.csv.zip,a97ecbabf318417819d8215c5ebae530,21278578
20130919.gkg.csv.zip,1ee8830a6a8b994c215734e20cdee608,20719922
20130920.gkg.csv.zip,40d34f3c4d67aa4216e0e7e61149ffd6,19069448
20130921.gkg.csv.zip,492a3502ec2147e619e47d05fb971251,11654567
20130922.gkg.csv.zip,c0c522163ba59e763602ef9272b2bc35,13192115
20130923.gkg.csv.zip,60c0292a9445390bc0f71753d973cdf5,21809780
20130924.gkg.csv.zip,74824d54da1cecf846c210934c677571,22222905
20130925.gkg.csv.zip,67e2d5a3080f8aee5242602e5b0d7d4b,22430576
20130926.gkg.csv.zip,99a7cd3daa76842a932a925bd05f9920,22216192
20130927.gkg.csv.zip,db11c1ff2e84d0604a488b6d31a66afd,19388555
20130928.gkg.csv.zip,27de1225df7f4d9aef53691c8501330c,11382471
20130929.gkg.csv.zip,dea7714ef2aaa93b977423ef0ca3cf9a,11900415
20130930.gkg.csv.zip,9ad0a08b9d45964a0bed46de6a185f06,21132366
20131001.gkg.csv.zip,08ae029205a29077b3254e5b8adf7ddf,21475587
20131002.gkg.csv.zip,df6b21e07430cecfe046e23c003fb900,20923155
20131003.gkg.csv.zip,a4fff5f37e264bd296a8ad5a5038aff2,5518977
20131004.gkg.csv.zip,aadec9b76e83b5e2371ee7ca1ac4fd55,17302962
20131005.gkg.csv.zip,25f6f606bc14c903fa1a97da5260e5d1,11826265
20131006.gkg.csv.zip,cea86853e7afc9ed38e2071fac77aa58,12400228
20131007.gkg.csv.zip,2d43e03fa2a1fffda287139d67d8e5cb,20343156
20131008.gkg.csv.zip,886d498acb72fe6c854a789ca317f174,21242925
20131009.gkg.csv.zip,526d18e44da0c4ab598b89e4f4e9fcc4,22048499
20131010.gkg.csv.zip,8713f7469fcb170c7a64c6519679cb8d,22081381
20131011.gkg.csv.zip,d32ee72920a767a53b12511bfc693132,19357493
