window_id,security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,alias_selection_reason,authoritative_name_source_layer,eligible_days,nonzero_days,matched_source_document_weight,total_source_document_weight,attention_share,strict_nonzero_window_flag
W2021,AWK,,AWK,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,AXP,0000004962,AXP,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,1003,768867,0.0013045169060448686,1
W2021,AZO,0000866787,AZO,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,1,1,768867,1.3006150608622817e-06,1
W2021,BA,0000012927,BA,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,4260,768867,0.005540620159273321,1
W2021,BAC,,BAC,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,8,768867,1.0404920486898254e-05,1
W2021,BALL,0000009389,BALL,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,2,19,768867,2.4711686156383354e-05,1
W2021,BAX,0000010456,BAX,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,67,768867,8.714120907777287e-05,1
W2021,BBWI,0000701985,BBWI,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,4,9,768867,1.1705535547760536e-05,1
W2021,BBY,0000764478,BBY,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,BDX,0000010795,BDX,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,BEN,0000038777,BEN,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,16,768867,2.0809840973796508e-05,1
W2021,BF.B,0000014693,BF.B,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,7,768867,9.104305426035972e-06,1
W2021,BIIB,0000875045,BIIB,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,29,768867,3.7717836765006173e-05,1
W2021,BIO,0000012208,BIO,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,7,47,768867,6.112890786052725e-05,1
W2021,BKNG,0001075531,BKNG,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,BKR,0001701605,BKR,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,135,768867,0.00017558303321640805,1
W2021,BLK,0002012383,BLK,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3G_AUTHORITATIVE_SAMPLE_NAME,7,7,210,768867,0.0002731291627810792,1
W2021,BMY,0000014272,BMY,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,74,768867,9.624551450380884e-05,1
W2021,BNY,0001390777,BNY,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,BR,0001383312,BR,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,90,768867,0.00011705535547760536,1
W2021,BRK.B,0001067983,BRK.B,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,99,768867,0.00012876089102536588,1
W2021,BSX,0000885725,BSX,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,327,768867,0.00042530112490196616,1
W2021,BWA,0000908255,BWA,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,6,21,768867,2.7312916278107918e-05,1
W2021,BXP,0001037540,BXP,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,4,768867,5.202460243449127e-06,1
W2021,C,0000831001,C,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,320,768867,0.00041619681947593017,1
W2021,CAG,0000023217,CAG,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,24,768867,3.121476146069476e-05,1
W2021,CAH,0000721371,CAH,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,105,768867,0.0001365645813905396,1
W2021,CARR,0001783180,CARR,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,2,6,768867,7.80369036517369e-06,1
W2021,CAT,0000018230,CAT,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,36,768867,4.6822142191042144e-05,1
W2021,CB,0000896159,CB,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,12,768867,1.560738073034738e-05,1
W2021,CBOE,0001374310,CBOE,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,2,4,768867,5.202460243449127e-06,1
W2021,CBRE,0001138118,CBRE,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CCI,0001051470,CCI,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,14,768867,1.8208610852071944e-05,1
W2021,CCL,0000815097,CCL,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,68,768867,8.844182413863516e-05,1
W2021,CDNS,0000813672,CDNS,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,14,768867,1.8208610852071944e-05,1
W2021,CDW,0001402057,CDW,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CE,0001306830,CE,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,7,49,768867,6.37301379822518e-05,1
W2021,CERN,0000804753,CERN,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,7,161,768867,0.00020939902479882736,1
W2021,CF,0001324404,CF,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,12,768867,1.560738073034738e-05,1
W2021,CFG,0000759944,CFG,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,7,768867,9.104305426035972e-06,1
W2021,CHD,0000313927,CHD,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CHRW,0001043277,CHRW,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3G_AUTHORITATIVE_SAMPLE_NAME,7,2,6,768867,7.80369036517369e-06,1
W2021,CHTR,0001091667,CHTR,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,27,768867,3.511660664328161e-05,1
W2021,CI,0001739940,CI,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,66,768867,8.58405940169106e-05,1
W2021,CINF,0000020286,CINF,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,1,1,768867,1.3006150608622817e-06,1
W2021,CL,0000021665,CL,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,25,768867,3.2515376521557046e-05,1
