security_key,latest_project_ticker,canonical_company_name,project_name_key,structural_ambiguity_tier,stage3b_mapping_status,candidate_sec_cik,sec_nport_observation_rows,sec_nport_in_membership_rows,sec_nport_pre_window_support_rows,sec_nport_unique_name_count,sec_nport_name_keys_pipe,sec_nport_raw_names_pipe,sec_nport_first_observed_date,sec_nport_last_observed_date,project_current_name_seen_in_sec_nport_flag,mapped_alias_event_count,project_period_alias_event_count,sec_former_name_count_for_cik,project_period_sec_former_name_count,pit_name_evidence_status,pit_name_review_flag,review_priority
EPAM,EPAM,EPAM Systems,EPAM SYSTEMS,MEDIUM,REVIEW_TICKER_ONLY,0001352010,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
ETSY,ETSY,Etsy,ETSY,HIGH,REVIEW_TICKER_ONLY,0001370637,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FBHS,FBHS,Fortune Brands Home & Security,FORTUNE BRANDS HOME AND SECURITY,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FFIV,FFIV,F5 INC,F5,HIGH,AUTO_SOURCE_AGREEMENT,0001048695,21,20,1,2,F5|F5 NETWORKS,F5 Inc|F5 Networks Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
FLIR,FLIR,FLIR Systems,FLIR SYSTEMS,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FLS,FLS,Flowserve,FLOWSERVE,HIGH,REVIEW_TICKER_ONLY,0000030625,0,0,0,0,,,,,0,0,0,2,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FMC,FMC,FMC,FMC,HIGH,REVIEW_TICKER_ONLY,0000037785,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FRC,FRC,First Republic Bank,FIRST REPUBLIC BANK,LOW,AUTO_UNIQUE_EXACT_NAME,0001132979,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FRT,FRT,FEDERAL REALTY INVS TRUST,FEDERAL REALTY INVS TRUST,LOW,REVIEW_TICKER_ONLY,0000034903,16,16,0,2,FEDERAL REALTY INVESTMENT TRUST|FEDERAL REALTY OP LP,Federal Realty Investment Trust|Federal Realty OP LP,2022-03-31,2025-12-31,0,0,0,0,0,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
FTI,FTI,TechnipFMC,TECHNIPFMC,HIGH,REVIEW_TICKER_ONLY,0001681459,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
FTRE,FTRE,Fortrea Holdings,FORTREA,HIGH,REVIEW_TICKER_ONLY,0001965040,0,0,0,0,,,,,0,0,0,1,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
GEN,GEN,GEN DIGITAL INC,GEN DIGITAL,MEDIUM,AUTO_SOURCE_AGREEMENT,0000849399,21,20,1,2,GEN DIGITAL|NORTONLIFELOCK,Gen Digital Inc|NortonLifeLock Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
GPS,GPS,Gap,GAP,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
HBI,HBI,Hanesbrands,HANESBRANDS,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
HES,HES,Hess,HESS,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
HFC,HFC,HollyFrontier,HOLLYFRONTIER,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
