security_key,latest_project_ticker,canonical_company_name,project_name_key,structural_ambiguity_tier,stage3b_mapping_status,candidate_sec_cik,sec_nport_observation_rows,sec_nport_in_membership_rows,sec_nport_pre_window_support_rows,sec_nport_unique_name_count,sec_nport_name_keys_pipe,sec_nport_raw_names_pipe,sec_nport_first_observed_date,sec_nport_last_observed_date,project_current_name_seen_in_sec_nport_flag,mapped_alias_event_count,project_period_alias_event_count,sec_former_name_count_for_cik,project_period_sec_former_name_count,pit_name_evidence_status,pit_name_review_flag,review_priority
NCLH,NCLH,NORWEGIAN CRUISE LINE HOLDIN,NORWEGIAN CRUISE LINE HOLDIN,LOW,REVIEW_TICKER_ONLY,0001513761,21,20,1,1,NORWEGIAN CRUISE LINE,Norwegian Cruise Line Holdings Ltd,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
NRG,NRG,NRG ENERGY INC,NRG ENERGY,MEDIUM,AUTO_SOURCE_AGREEMENT,0001013871,21,20,1,1,NRG ENERGY,NRG Energy Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
NXPI,NXPI,NXP Semiconductors,NXP SEMICONDUCTORS,MEDIUM,REVIEW_TICKER_ONLY,0001413447,20,20,0,1,NXP SEMICONDUCTORS NV,NXP Semiconductors NV,2021-03-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
PANW,PANW,Palo Alto Networks,PALO ALTO NETWORKS,LOW,REVIEW_TICKER_ONLY,0001327567,11,11,0,1,PALO ALTO NETWORKS,Palo Alto Networks Inc,2023-06-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
PCG,PCG,PG&E,PG AND E,HIGH,REVIEW_TICKER_ONLY,0001004980,13,13,0,1,PG AND E,PG&E Corp,2022-12-31,2025-12-31,1,0,0,3,2,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
PEG,PEG,PUBLIC SERVICE ENTERPRISE GP,PUBLIC SERVICE ENTERPRISE GP,LOW,REVIEW_TICKER_ONLY,0000788784,21,20,1,1,PUBLIC SERVICE ENTERPRISE GROUP,Public Service Enterprise Group Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
PFE,PFE,PFIZER INC,PFIZER,HIGH,AUTO_SOURCE_AGREEMENT,0000078003,21,20,1,1,PFIZER,Pfizer Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
PG,PG,PROCTER + GAMBLE CO/THE,PROCTER GAMBLE,LOW,REVIEW_TICKER_ONLY,0000080424,21,20,1,1,PROCTER AND GAMBLE,Procter & Gamble Co/The,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
PH,PH,PARKER HANNIFIN CORP,PARKER HANNIFIN,MEDIUM,AUTO_SOURCE_AGREEMENT,0000076334,21,20,1,1,PARKER HANNIFIN,Parker-Hannifin Corp,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
PSKY,PSKY,PARAMOUNT SKYDANCE CL B,PARAMOUNT SKYDANCE,LOW,REVIEW_TICKER_ONLY,0002041610,2,2,0,1,PARAMOUNT SKYDANCE,Paramount Skydance Corp,2025-09-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
Q,Q,Qnity Electronics,QNITY ELECTRONICS,MEDIUM,REVIEW_TICKER_ONLY,0002058873,1,1,0,1,QNITY ELECTRONICS,Qnity Electronics Inc,2025-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
ROP,ROP,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES,MEDIUM,AUTO_SOURCE_AGREEMENT,0000882835,21,20,1,1,ROPER TECHNOLOGIES,Roper Technologies Inc,2020-12-31,2025-12-31,1,0,0,3,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
SCHW,SCHW,SCHWAB (CHARLES) CORP,SCHWAB CHARLES,MEDIUM,AUTO_SOURCE_AGREEMENT,0000316709,21,20,1,1,CHARLES SCHWAB,Charles Schwab Corp/The,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
SJM,SJM,JM SMUCKER CO/THE,JM SMUCKER,LOW,REVIEW_TICKER_ONLY,0000091419,21,20,1,1,J M SMUCKER,J M Smucker Co/The,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
SNDK,SNDK,Sandisk,SANDISK,HIGH,REVIEW_TICKER_ONLY,0002023554,1,1,0,1,SANDISK CORP DE,Sandisk Corp/DE,2025-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
SO,SO,SOUTHERN CO/THE,SOUTHERN,LOW,REVIEW_TICKER_ONLY,0000092122,21,20,1,1,SOUTHERN,Southern Co/The,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
SOLV,SOLV,Solventum,SOLVENTUM,HIGH,REVIEW_TICKER_ONLY,0001964738,7,7,0,1,SOLVENTUM,Solventum Corp,2024-06-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
SPG,SPG,SIMON PROPERTY GROUP INC,SIMON PROPERTY GROUP,LOW,AUTO_SOURCE_AGREEMENT,0001063761,21,20,1,1,SIMON PROPERTY GROUP,Simon Property Group Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
SPGI,SPGI,S+P GLOBAL INC,S P GLOBAL,LOW,REVIEW_TICKER_ONLY,0000064040,21,20,1,1,S AND P GLOBAL,S&P Global Inc,2020-12-31,2025-12-31,0,0,0,3,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
STLD,STLD,Steel Dynamics,STEEL DYNAMICS,MEDIUM,REVIEW_TICKER_ONLY,0001022671,13,13,0,1,STEEL DYNAMICS,Steel Dynamics Inc,2022-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
STT,STT,STATE STREET CORP,STATE STREET,MEDIUM,AUTO_SOURCE_AGREEMENT,0000093751,21,20,1,1,STATE STREET,State Street Corp,2020-12-31,2025-12-31,1,0,0,3,2,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,SEAGATE TECHNOLOGY,MEDIUM,AUTO_SOURCE_AGREEMENT,0001137789,21,20,1,1,SEAGATE TECHNOLOGY,Seagate Technology Holdings PLC|Seagate Technology PLC,2020-12-31,2025-12-31,1,0,0,4,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
STZ,STZ,CONSTELLATION BRANDS INC A,CONSTELLATION BRANDS INC A,LOW,REVIEW_TICKER_ONLY,0000016918,21,20,1,1,CONSTELLATION BRANDS,Constellation Brands Inc,2020-12-31,2025-12-31,0,0,0,3,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
SW,SW,SMURFIT WESTROCK PLC,SMURFIT WESTROCK,MEDIUM,AUTO_SOURCE_AGREEMENT,0002005951,6,6,0,1,SMURFIT WESTROCK,Smurfit WestRock PLC,2024-09-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
SWK,SWK,STANLEY BLACK + DECKER INC,STANLEY BLACK DECKER,LOW,REVIEW_TICKER_ONLY,0000093556,21,20,1,1,STANLEY BLACK AND DECKER,Stanley Black & Decker Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
SYF,SYF,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,MEDIUM,AUTO_SOURCE_AGREEMENT,0001601712,21,20,1,1,SYNCHRONY FINANCIAL,Synchrony Financial,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
T,T,AT+T INC,AT T,HIGH,REVIEW_TICKER_ONLY,0000732717,21,20,1,1,AT AND T,AT&T Inc,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
TAP,TAP,MOLSON COORS BEVERAGE CO   B,MOLSON COORS BEVERAGE CO B,LOW,REVIEW_TICKER_ONLY,0000024545,21,20,1,1,MOLSON COORS BEVERAGE,Molson Coors Beverage Co,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
TEL,TEL,TE CONNECTIVITY PLC,TE CONNECTIVITY,MEDIUM,AUTO_SOURCE_AGREEMENT,0001385157,21,20,1,1,TE CONNECTIVITY,TE Connectivity Ltd|TE Connectivity PLC,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
TJX,TJX,TJX COMPANIES INC,TJX COMPANIES,MEDIUM,REVIEW_CONFLICT,,21,20,1,1,TJX COS,TJX Cos Inc/The,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
TKO,TKO,TKO Group Holdings,TKO GROUP,MEDIUM,REVIEW_TICKER_ONLY,0001973266,4,4,0,1,TKO GROUP,TKO Group Holdings Inc,2025-03-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
TRGP,TRGP,Targa Resources,TARGA RESOURCES,MEDIUM,REVIEW_TICKER_ONLY,0001389170,13,13,0,1,TARGA RESOURCES,Targa Resources Corp,2022-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
TTWO,TTWO,TAKE TWO INTERACTIVE SOFTWRE,TAKE TWO INTERACTIVE SOFTWRE,LOW,REVIEW_TICKER_ONLY,0000946581,21,20,1,1,TAKE TWO INTERACTIVE SOFTWARE,Take-Two Interactive Software Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
UHS,UHS,UNIVERSAL HEALTH SERVICES B,UNIVERSAL HEALTH SERVICES B,LOW,REVIEW_TICKER_ONLY,0000352915,21,20,1,1,UNIVERSAL HEALTH SERVICES,Universal Health Services Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
V,V,VISA INC CLASS A SHARES,VISA INC SHARES,LOW,REVIEW_TICKER_ONLY,0001403161,21,20,1,1,VISA,Visa Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
WAB,WAB,WABTEC CORP,WABTEC,HIGH,AUTO_SOURCE_AGREEMENT,0000943452,21,20,1,1,WESTINGHOUSE AIR BRAKE TECHNOLOGIES,Westinghouse Air Brake Technologies Corp,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
WBD,WBD,Warner Bros. Discovery,WARNER BROS DISCOVERY,LOW,REVIEW_TICKER_ONLY,0001437107,15,15,0,1,WARNER BROS DISCOVERY,Warner Bros Discovery Inc,2022-06-30,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
WFC,WFC,WELLS FARGO + CO,WELLS FARGO,MEDIUM,REVIEW_TICKER_ONLY,0000072971,21,20,1,1,WELLS FARGO AND,Wells Fargo & Co,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
WMT,WMT,WALMART INC,WALMART,HIGH,AUTO_SOURCE_AGREEMENT,0000104169,21,20,1,1,WALMART,Walmart Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
WRB,WRB,WR BERKLEY CORP,WR BERKLEY,MEDIUM,REVIEW_TICKER_ONLY,0000011544,21,20,1,1,W R BERKLEY,W R Berkley Corp,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
XOM,XOM,EXXONMOBIL HOLDINGS CORP,EXXONMOBIL,HIGH,AUTO_SOURCE_AGREEMENT,0002115436,21,20,1,1,EXXON MOBIL,Exxon Mobil Corp,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
XYL,XYL,XYLEM INC,XYLEM,HIGH,AUTO_SOURCE_AGREEMENT,0001524472,21,20,1,1,XYLEM INC NY,Xylem Inc/NY,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
XYZ,XYZ,Block,BLOCK,HIGH,REVIEW_TICKER_ONLY,0001512673,2,2,0,1,BLOCK,Block Inc,2025-09-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
