security_key,issuer_cik,issuer_cik_source,latest_project_ticker,structural_ambiguity_tier,ticker_like_exact_name_flag,membership_valid_from,membership_valid_to_exclusive,alias_valid_from,alias_valid_to_exclusive,authoritative_state_name,authoritative_name_source_layer,state_basis,full_normalized_alias,legal_core_alias,production_alias,alias_selection_reason,bare_ticker_qualification_source,matching_mode,policy_id,policy_sha256,bare_ticker_alias_flag
AJG,0000354190,STAGE3B2_CANDIDATE_CIK,AJG,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Arthur J Gallagher & Co,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,arthur j gallagher and co,arthur j gallagher and,arthur j gallagher and,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AKAM,0001086222,STAGE3B2_CANDIDATE_CIK,AKAM,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Akamai Technologies Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,akamai technologies inc,akamai technologies,akamai technologies,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ALB,0000915913,STAGE3B2_CANDIDATE_CIK,ALB,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Albemarle Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,albemarle corp,albemarle,albemarle corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ALGN,0001097149,STAGE3B2_CANDIDATE_CIK,ALGN,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Align Technology Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,align technology inc,align technology,align technology,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ALK,0000766421,STAGE3I_RESOLVED_CIK,ALK,LOW,0,2021-01-01,2023-12-18,2021-01-01,2023-12-18,Alaska Air Group,STAGE3I_MEMBERSHIP_NAME,STABLE,alaska air group,alaska air group,alaska air group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ALL,0000899051,STAGE3B2_CANDIDATE_CIK,ALL,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Allstate Corp/The,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,allstate corp,allstate,allstate corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ALLE,0001579241,STAGE3B2_CANDIDATE_CIK,ALLE,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Allegion plc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,allegion plc,allegion,allegion plc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ALXN,0000899866,STAGE3I_RESOLVED_CIK,ALXN,MEDIUM,0,2021-01-01,2021-07-21,2021-01-01,2021-07-21,Alexion Pharmaceuticals,STAGE3I_MEMBERSHIP_NAME,STABLE,alexion pharmaceuticals,alexion pharmaceuticals,alexion pharmaceuticals,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMAT,,,AMAT,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Applied Materials Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,applied materials inc,applied materials,applied materials,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMCR,0001748790,STAGE3B2_CANDIDATE_CIK,AMCR,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Amcor PLC,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,amcor plc,amcor,amcor plc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
