security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale
STZ,STZ,CONSTELLATION BRANDS INC A,0000016918,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"CONSTELLATION BRANDS, INC.",CONSTELLATION BRANDS,Constellation Brands Inc,CONSTELLATION BRANDS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
SWK,SWK,STANLEY BLACK + DECKER INC,0000093556,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"STANLEY BLACK & DECKER, INC.",STANLEY BLACK AND DECKER,Stanley Black & Decker Inc,STANLEY BLACK AND DECKER,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
T,T,AT+T INC,0000732717,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,AT&T INC.,AT AND T,AT&T Inc,AT AND T,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
TAP,TAP,MOLSON COORS BEVERAGE CO   B,0000024545,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,MOLSON COORS BEVERAGE CO,MOLSON COORS BEVERAGE,Molson Coors Beverage Co,MOLSON COORS BEVERAGE,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
TTWO,TTWO,TAKE TWO INTERACTIVE SOFTWRE,0000946581,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,TAKE TWO INTERACTIVE SOFTWARE INC,TAKE TWO INTERACTIVE SOFTWARE,Take-Two Interactive Software Inc,TAKE TWO INTERACTIVE SOFTWARE,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
UHS,UHS,UNIVERSAL HEALTH SERVICES B,0000352915,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,UNIVERSAL HEALTH SERVICES INC,UNIVERSAL HEALTH SERVICES,Universal Health Services Inc,UNIVERSAL HEALTH SERVICES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
V,V,VISA INC CLASS A SHARES,0001403161,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,VISA INC.,VISA,Visa Inc,VISA,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
WAB,WAB,WABTEC CORP,0000943452,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,WESTINGHOUSE AIR BRAKE TECHNOLOGIES,Westinghouse Air Brake Technologies Corp,WESTINGHOUSE AIR BRAKE TECHNOLOGIES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
ABNB,ABNB,Airbnb,0001559720,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Airbnb, Inc.",AIRBNB,Airbnb Inc,AIRBNB,1,1,1,1,AIRBNB,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
ACN,ACN,ACCENTURE PLC CL A,0001467373,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Accenture plc,ACCENTURE,Accenture PLC,ACCENTURE,1,1,1,1,ACCENTURE,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
ADM,ADM,ARCHER DANIELS MIDLAND CO,0000007084,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND,1,1,1,1,ARCHER DANIELS MIDLAND,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
AIG,AIG,AMERICAN INTERNATIONAL GROUP,0000005272,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL GROUP,American International Group Inc,AMERICAN INTERNATIONAL GROUP,1,1,1,1,AMERICAN INTERNATIONAL GROUP,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
APD,APD,AIR PRODUCTS + CHEMICALS INC,0000002969,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Air Products & Chemicals, Inc.",AIR PRODUCTS AND CHEMICALS,Air Products and Chemicals Inc,AIR PRODUCTS AND CHEMICALS,1,1,1,1,AIR PRODUCTS AND CHEMICALS,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT,0001035443,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ALEXANDRIA REAL ESTATE EQUITIES,Alexandria Real Estate Equities Inc,ALEXANDRIA REAL ESTATE EQUITIES,1,1,1,1,ALEXANDRIA REAL ESTATE EQUITIES,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
AZO,AZO,AUTOZONE INC,0000866787,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,AUTOZONE INC,AUTOZONE,AutoZone Inc,AUTOZONE,1,1,1,1,AUTOZONE,1,RESOLVED_SEC_FORMER_NAMES_REGISTRY_STYLE_EQUIVALENT,"SEC current filer name and the single historical NPORT issuer name agree, and every project-overlapping SEC former-name record has the same conservative registry core with complete date metadata. Former-name evidence is therefore a registry/legal-style presentation difference rather than a substantive issuer-name state change."
