security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,eligible_anchor_windows,nonzero_anchor_windows,total_matched_source_document_weight,total_source_document_weight,any_nonzero_window_flag,two_plus_nonzero_windows_flag,nonzero_window_rate
EXPE,0001324424,EXPE,MEDIUM,5,5,217,3470614,1,1,1.0
EXR,0001289490,EXR,LOW,5,0,0,3470614,0,0,0.0
F,0000037996,F,MEDIUM,5,5,1674,3470614,1,1,1.0
FANG,0001539838,FANG,MEDIUM,5,5,80,3470614,1,1,1.0
FAST,0000815556,FAST,HIGH,5,4,21,3470614,1,1,0.8
FBHS,0001519751,FBHS,LOW,2,0,0,1358483,0,0,0.0
FCX,0000831259,FCX,MEDIUM,5,5,174,3470614,1,1,1.0
FDS,0001013237,FDS,LOW,4,4,31,2701747,1,1,1.0
FDX,0001048911,FDX,HIGH,5,5,105,3470614,1,1,1.0
FE,0001031296,FE,HIGH,5,5,181,3470614,1,1,1.0
FFIV,0001048695,FFIV,HIGH,5,0,0,3470614,0,0,0.0
FICO,0000814547,FICO,LOW,3,3,31,2112131,1,1,1.0
FIS,0001136893,FIS,LOW,5,5,48,3470614,1,1,1.0
FISV,0000798354,FISV,HIGH,5,5,87,3470614,1,1,1.0
FITB,0000035527,FITB,LOW,5,5,257,3470614,1,1,1.0
FLIR,0000354908,FLIR,MEDIUM,1,1,16,768867,1,0,1.0
FLS,0000030625,FLS,HIGH,1,1,27,768867,1,0,1.0
FMC,0000037785,FMC,HIGH,4,0,0,2873133,0,0,0.0
FOX,0001754301,FOX,LOW,5,5,240,3470614,1,1,1.0
FOXA,0001754301,FOXA,LOW,5,5,240,3470614,1,1,1.0
FRC,0001132979,FRC,LOW,2,2,42,1358483,1,1,1.0
FRT,0000034903,FRT,LOW,5,0,0,3470614,0,0,0.0
FSLR,0001274494,FSLR,MEDIUM,3,3,63,2112131,1,1,1.0
FTI,0001681459,FTI,HIGH,1,0,0,768867,0,0,0.0
FTNT,0001262039,FTNT,HIGH,5,5,77,3470614,1,1,1.0
FTV,0001659166,FTV,HIGH,5,3,10,3470614,1,1,0.6
GD,0000040533,GD,MEDIUM,5,2,3,3470614,1,1,0.4
