analysis_month_number,theme_code,theme_name,active_tagged_winner_count,signed_theme_commonality_contribution,absolute_theme_commonality_contribution,aggregate_commonality_factor,absolute_aggregate_commonality_factor
38,S02,Power / Energy Infrastructure,3,0.0015236967186815,0.0015236967186815,6.43981556931439e-05,6.43981556931439e-05
39,S02,Power / Energy Infrastructure,3,-0.0006349774181892999,0.0006349774181892999,-0.0047691818457908,0.0047691818457908
40,S02,Power / Energy Infrastructure,3,0.0012544417518149998,0.0012544417518149998,0.00553998713446,0.00553998713446
41,S02,Power / Energy Infrastructure,4,-0.0006284926395111997,0.0006284926395111997,0.0034828197343235,0.0034828197343235
42,S02,Power / Energy Infrastructure,4,-0.0030798652882199433,0.0030798652882199433,-0.0246093538642911,0.0246093538642911
43,S02,Power / Energy Infrastructure,4,0.0032343948062803353,0.0032343948062803353,0.0202047024805952,0.0202047024805952
44,S02,Power / Energy Infrastructure,4,0.0109156171710865,0.0109156171710865,0.0131559473403163,0.0131559473403163
45,S02,Power / Energy Infrastructure,4,0.0071227671039848,0.0071227671039848,0.0193663611725195,0.0193663611725195
46,S02,Power / Energy Infrastructure,4,0.0052149431582256,0.0052149431582256,0.0215465414423573,0.0215465414423573
47,S02,Power / Energy Infrastructure,4,-0.0020232310586719,0.0020232310586719,-0.0059751641454837,0.0059751641454837
48,S02,Power / Energy Infrastructure,4,0.008744135106504099,0.008744135106504099,0.0252698003019361,0.0252698003019361
49,S02,Power / Energy Infrastructure,4,-0.005963107556129558,0.005963107556129558,-2.5337452551444826e-06,2.5337452551444826e-06
50,S02,Power / Energy Infrastructure,4,-0.0044847380986075,0.0044847380986075,-0.0253731270417185,0.0253731270417185
51,S02,Power / Energy Infrastructure,3,0.004443238007834432,0.004443238007834432,0.018242169448524,0.018242169448524
52,S02,Power / Energy Infrastructure,3,6.902681652790001e-05,6.902681652790001e-05,-0.0050563676581227,0.0050563676581227
53,S02,Power / Energy Infrastructure,2,0.0008642704326073001,0.0008642704326073001,-0.0108125408351624,0.0108125408351624
54,S02,Power / Energy Infrastructure,3,-0.0007913748591341,0.0007913748591341,-0.0063128062593659,0.0063128062593659
55,S02,Power / Energy Infrastructure,3,-0.0047725268218548,0.0047725268218548,-0.0175185485725618,0.0175185485725618
56,S02,Power / Energy Infrastructure,3,0.0021984837348379637,0.0021984837348379637,0.036804289069262,0.036804289069262
57,S02,Power / Energy Infrastructure,2,-0.0023200925657432,0.0023200925657432,-0.0147803375173818,0.0147803375173818
58,S02,Power / Energy Infrastructure,3,-0.0030744532583218,0.0030744532583218,0.0031069545891763,0.0031069545891763
59,S02,Power / Energy Infrastructure,2,-0.0031978994356343,0.0031978994356343,-0.0046790653000441,0.0046790653000441
1,S03,Electrification / Energy Transition,3,4.614564752380003e-05,4.614564752380003e-05,-0.026570510089296,0.026570510089296
2,S03,Electrification / Energy Transition,3,-0.0047329111690675,0.0047329111690675,-0.0356121908414631,0.0356121908414631
3,S03,Electrification / Energy Transition,3,0.0027504295150051743,0.0027504295150051743,-0.0010463437925989,0.0010463437925989
4,S03,Electrification / Energy Transition,4,0.0029546731197267005,0.0029546731197267005,0.0057917762034896,0.0057917762034896
5,S03,Electrification / Energy Transition,4,-0.0007186639204968999,0.0007186639204968999,-0.0026792784585861,0.0026792784585861
6,S03,Electrification / Energy Transition,4,0.005137576845737213,0.005137576845737213,-0.0101285285565611,0.0101285285565611
7,S03,Electrification / Energy Transition,4,0.0026434938387281,0.0026434938387281,0.012173374055108,0.012173374055108
8,S03,Electrification / Energy Transition,3,-0.0025355482992656,0.0025355482992656,0.0038951094595815,0.0038951094595815
9,S03,Electrification / Energy Transition,3,0.0036685695082066,0.0036685695082066,0.0161165519219697,0.0161165519219697
10,S03,Electrification / Energy Transition,5,0.0020330470438537003,0.0020330470438537003,-0.0089659536708787,0.0089659536708787
11,S03,Electrification / Energy Transition,5,-0.0024381253169131396,0.0024381253169131396,-0.0068449511039414,0.0068449511039414
12,S03,Electrification / Energy Transition,5,-0.0021602115861082,0.0021602115861082,-0.0289931560266946,0.0289931560266946
13,S03,Electrification / Energy Transition,3,0.013628056659616798,0.013628056659616798,0.0119494207845293,0.0119494207845293
14,S03,Electrification / Energy Transition,4,0.0083239505006711,0.0083239505006711,0.0158407516767279,0.0158407516767279
15,S03,Electrification / Energy Transition,4,-0.0019289587738821998,0.0019289587738821998,-0.008876295590203,0.008876295590203
16,S03,Electrification / Energy Transition,4,-0.0043987170316609,0.0043987170316609,-0.0141747443189113,0.0141747443189113
17,S03,Electrification / Energy Transition,4,-0.001820579659774033,0.001820579659774033,0.0083588027088511,0.0083588027088511
18,S03,Electrification / Energy Transition,4,0.0071763543223172,0.0071763543223172,-0.009238506382375,0.009238506382375
19,S03,Electrification / Energy Transition,2,0.0021378425686488,0.0021378425686488,0.0203271535655298,0.0203271535655298
20,S03,Electrification / Energy Transition,3,0.0001167956787792,0.0001167956787792,0.013974997835212,0.013974997835212
21,S03,Electrification / Energy Transition,4,-0.0001947819938308002,0.0001947819938308002,0.0175925023717133,0.0175925023717133
22,S03,Electrification / Energy Transition,3,-0.002897402212199,0.002897402212199,-0.0304047667239001,0.0304047667239001
23,S03,Electrification / Energy Transition,2,-0.0035559436660963003,0.0035559436660963003,-0.0072981595634097,0.0072981595634097
24,S03,Electrification / Energy Transition,3,0.0021580327768839,0.0021580327768839,-0.0312120412597236,0.0312120412597236
25,S03,Electrification / Energy Transition,4,0.001493682330822,0.001493682330822,0.0138729690242993,0.0138729690242993
26,S03,Electrification / Energy Transition,4,-0.0011007462532189012,0.0011007462532189012,0.004974391368723,0.004974391368723
27,S03,Electrification / Energy Transition,4,-0.0067676662281318,0.0067676662281318,-0.004284561570165,0.004284561570165
28,S03,Electrification / Energy Transition,3,0.0030043022655690003,0.0030043022655690003,-0.0003828212947141,0.0003828212947141
29,S03,Electrification / Energy Transition,3,0.0035412551062938,0.0035412551062938,0.0005910370618961,0.0005910370618961
30,S03,Electrification / Energy Transition,3,0.0006578748813538,0.0006578748813538,-0.0164626176104256,0.0164626176104256
31,S03,Electrification / Energy Transition,3,0.0022429548718415,0.0022429548718415,0.0067270697611475,0.0067270697611475
32,S03,Electrification / Energy Transition,3,0.0028480420625394,0.0028480420625394,-2.9990140570888204e-05,2.9990140570888204e-05
33,S03,Electrification / Energy Transition,4,7.280687682979998e-05,7.280687682979998e-05,0.0048159159545982,0.0048159159545982
34,S03,Electrification / Energy Transition,2,-0.00037090617652761366,0.00037090617652761366,0.0126267700200857,0.0126267700200857
35,S03,Electrification / Energy Transition,2,-0.0012444439557622,0.0012444439557622,-0.0246613613736501,0.0246613613736501
36,S03,Electrification / Energy Transition,4,0.0038701660326582003,0.0038701660326582003,0.0281785759812571,0.0281785759812571
37,S03,Electrification / Energy Transition,3,0.0049493205135055,0.0049493205135055,0.0231646645293638,0.0231646645293638
38,S03,Electrification / Energy Transition,2,0.0021084712545253,0.0021084712545253,6.43981556931439e-05,6.43981556931439e-05
39,S03,Electrification / Energy Transition,2,-0.0016422542435157,0.0016422542435157,-0.0047691818457908,0.0047691818457908
40,S03,Electrification / Energy Transition,2,0.0007297536654907,0.0007297536654907,0.00553998713446,0.00553998713446
41,S03,Electrification / Energy Transition,4,-0.0035105851610477998,0.0035105851610477998,0.0034828197343235,0.0034828197343235
42,S03,Electrification / Energy Transition,3,-0.0038314365306915434,0.0038314365306915434,-0.0246093538642911,0.0246093538642911
43,S03,Electrification / Energy Transition,3,0.0009230803920493354,0.0009230803920493354,0.0202047024805952,0.0202047024805952
44,S03,Electrification / Energy Transition,2,0.0090004834748447,0.0090004834748447,0.0131559473403163,0.0131559473403163
45,S03,Electrification / Energy Transition,2,0.0013431666949002001,0.0013431666949002001,0.0193663611725195,0.0193663611725195
46,S03,Electrification / Energy Transition,2,0.0022883574409796998,0.0022883574409796998,0.0215465414423573,0.0215465414423573
47,S03,Electrification / Energy Transition,2,-0.0019738359238713,0.0019738359238713,-0.0059751641454837,0.0059751641454837
48,S03,Electrification / Energy Transition,3,0.007616704565662099,0.007616704565662099,0.0252698003019361,0.0252698003019361
49,S03,Electrification / Energy Transition,3,-0.0088542366084154,0.0088542366084154,-2.5337452551444826e-06,2.5337452551444826e-06
