security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution
GOOG,GOOG,Communication Services,16,-0.0027922565604685395,0.012840860660915132,-0.00017451603502928372,0.0018337069316425399,-0.0021716138298193176,0.0040897363653401115,0.0027922565604685395,0.3976547079561776
VTR,VTR,Real Estate,19,0.004721821657371806,0.012678895421583488,0.0002485169293353582,0.0017864325091764158,-0.0015915741334676487,0.004038151417359807,0.004721821657371806,0.4016928593735374
MCK,MCK,Health Care,34,0.0037578825576707617,0.012568878555638853,0.00011052595757855182,0.0010374200155762946,-0.000873967165248685,0.0040031117117406935,0.0037578825576707617,0.40569597108527805
CAH,CAH,Health Care,31,0.004806372051510057,0.012494225042190346,0.0001550442597261309,0.0014609212321078447,-0.0010133134552253375,0.00397933501975617,0.004806372051510057,0.4096753061050342
FICO,FICO,Information Technology,26,0.004162195881998381,0.0123869345212083,0.00016008445699993774,0.00108203160325262,-0.0015240686349736585,0.003945163638498826,0.004162195881998381,0.41362046974353306
DVA,DVA,Health Care,18,0.0040698894682132765,0.01224951972854098,0.00022610497045629313,0.0017669685769586456,-0.000995027448444318,0.003901397859120985,0.0040698894682132765,0.41752186760265403
GOOGL,GOOGL,Communication Services,14,-0.0023317811016134835,0.01207411255147701,-0.00016655579297239167,0.0017410586692820072,-0.0022229074767070936,0.0038455317353677937,0.0023317811016134835,0.4213673993380218
DLTR,DLTR,Consumer Discretionary | Consumer Staples,16,0.0028591171016690954,0.0120002893092792,0.00017869481885431847,0.001515036952907928,-0.0015475340010655848,0.0038220194797490823,0.0028591171016690954,0.4251894188177709
HST,HST,Real Estate,14,-0.004869406781848811,0.011981851855853702,-0.00034781477013205795,0.0013428245123568662,-0.0017549217674968573,0.003816147262477226,0.004869406781848811,0.4290055660802481
PHM,PHM,Consumer Discretionary,21,0.004320421129953657,0.011909782564207876,0.0002057343395216027,0.00167495362410455,-0.0013902948825717204,0.0037931936294886386,0.004320421129953657,0.43279875970973675
EXR,EXR,Real Estate,15,-0.0006480199486390911,0.011789269157831104,-4.320132990927274e-05,0.0014782213085999289,-0.0023892837690308367,0.003754810839301507,0.0006480199486390911,0.43655357054903826
MNST,MNST,Consumer Staples,21,0.0027192196407686414,0.011271067202567212,0.0001294866495604115,0.0012327434308477296,-0.0009661604752604079,0.003589766654414133,0.0027192196407686414,0.4401433372034524
FTNT,FTNT,Information Technology,23,-0.0009345351484112425,0.011210450647150323,-4.063196297440185e-05,0.0011795259687150611,-0.0014931399219423353,0.003570460648564799,0.0009345351484112425,0.4437137978520172
SW,SW,Materials,9,-0.003259222530960344,0.011142876373546376,-0.00036213583677337154,0.0014600761806374688,-0.002098892659153331,0.003548938651603903,0.003259222530960344,0.4472627365036211
MLM,MLM,Materials,15,-0.004829128067412262,0.011130258133567878,-0.00032194187116081743,0.0012236439099524222,-0.002183554997129394,0.0035449198185778796,0.004829128067412262,0.450807656322199
ULTA,ULTA,Consumer Discretionary,18,0.004008988418012983,0.011008218872487388,0.00022272157877849908,0.0012032586185524857,-0.0020263057362659887,0.0035060510529071097,0.004008988418012983,0.4543137073751061
EQIX,EQIX,Real Estate,16,-0.0030130774682813844,0.010949247287414093,-0.00018831734176758653,0.0010655794855170323,-0.00258346923449184,0.0034872689601514353,0.0030130774682813844,0.45780097633525757
ORLY,ORLY,Consumer Discretionary,20,0.0012036977314936312,0.010890707748624487,6.018488657468156e-05,0.0009458167662215554,-0.0014069079788039532,0.003468624471520949,0.0012036977314936312,0.46126960080677853
F,F,Consumer Discretionary,14,0.0025934404560550577,0.010840997084704172,0.00018524574686107554,0.001991190997597929,-0.0013188830566802957,0.003452791926074916,0.0025934404560550577,0.46472239273285343
PEG,PEG,Utilities,22,0.0010460130007204282,0.010772217879868762,4.754604548729219e-05,0.001221649392642154,-0.000918852642328901,0.0034308861658130098,0.0010460130007204282,0.4681532788986664
DG,DG,Consumer Discretionary | Consumer Staples,13,0.003144517064696619,0.010566524474733491,0.00024188592805358608,0.002846515665812621,-0.0013254238250674356,0.003365374061811065,0.003144517064696619,0.4715186529604775
ATVI,ATVI,Communication Services,9,-0.0016657759612778349,0.010561819747596414,-0.00018508621791975944,0.001869172098512648,-0.0022682017881786257,0.0033638756347064026,0.0016657759612778349,0.47488252859518393
PSX,PSX,Energy,9,0.0015534745573724835,0.010324093362716584,0.00017260828415249817,0.002986943949169363,-0.0023632352617198845,0.003288161220624863,0.0015534745573724835,0.4781706898158088
ETSY,ETSY,Consumer Discretionary,9,-0.0022853695967481264,0.01029767173869948,-0.0002539299551942363,0.0018309185705721333,-0.0018935224884728194,0.003279746093366065,0.0022853695967481264,0.48145043590917486
TAP,TAP,Consumer Staples,17,-0.00593265003111945,0.01027003954061647,-0.0003489794135952618,0.0006051794020210415,-0.0017022925012407616,0.0032709454055976557,0.00593265003111945,0.4847213813147725
VRTX,VRTX,Health Care,23,0.00042594533109312997,0.010177024463880004,1.8519362221440434e-05,0.0007286843728970563,-0.0009899959154977766,0.0032413206668905447,0.00042594533109312997,0.487962701981663
URI,URI,Industrials,31,0.0003170844755969453,0.010037872851501156,1.0228531470869204e-05,0.000977956079448323,-0.0009742565963099328,0.003197001720951533,0.0003170844755969453,0.4911597037026146
AMD,AMD,Information Technology,17,0.0006007145109468275,0.009903656225737158,3.5336147702754556e-05,0.0010388680381892513,-0.0008122811340430198,0.0031542545383665653,0.0006007145109468275,0.4943139582409811
AZO,AZO,Consumer Discretionary,17,0.0032335143395485944,0.009864937548982664,0.00019020672585579968,0.0012343322837469846,-0.0009962439438959642,0.003141922874273154,0.0032335143395485944,0.4974558811152543
ISRG,ISRG,Health Care,26,0.003333852756176847,0.009858090696016723,0.0001282251060068018,0.00084467753403564,-0.0008899183933015226,0.003139742193063196,0.003333852756176847,0.5005956233083175
GE,GE,Industrials,38,0.004556324927369403,0.009805536461419436,0.00011990328756235271,0.0012209423432399111,-0.0005111137116598732,0.0031230039875751988,0.004556324927369403,0.5037186272958927
HCA,HCA,Health Care,26,-0.0006488873944905671,0.0097557636738931,-2.4957207480406426e-05,0.0011544088473478904,-0.0008429418761639211,0.003107151656136825,0.0006488873944905671,0.5068257789520295
PGR,PGR,Financials,29,0.0007321002648015102,0.009676321566011645,2.5244836717293457e-05,0.0009597412489507376,-0.0007000066449994257,0.003081849825821745,0.0007321002648015102,0.5099076287778512
CNP,CNP,Utilities,22,0.004264066455328621,0.009659802154321382,0.0001938212025149373,0.0010187529742682966,-0.0007644054966411316,0.0030765884932282585,0.004264066455328621,0.5129842172710795
LW,LW,Consumer Staples,18,0.0011640811116060985,0.009614414279846903,6.467117286700546e-05,0.0016675876417145434,-0.0015830410999528777,0.0030621327300449715,0.0011640811116060985,0.5160463500011244
