analysis_month_number,ranking_month_end_date,security_key,project_ticker,gics_sector,sector_momentum_quintile,sector_neutral_leg_weight
28,2023-04-28,A,A,Health Care,5,0.007575757575757576
28,2023-04-28,BIIB,BIIB,Health Care,5,0.007575757575757576
28,2023-04-28,BSX,BSX,Health Care,5,0.007575757575757576
28,2023-04-28,CAH,CAH,Health Care,5,0.007575757575757576
28,2023-04-28,GILD,GILD,Health Care,5,0.007575757575757576
28,2023-04-28,HCA,HCA,Health Care,5,0.007575757575757576
28,2023-04-28,LLY,LLY,Health Care,5,0.007575757575757576
28,2023-04-28,MRK,MRK,Health Care,5,0.007575757575757576
28,2023-04-28,MTD,MTD,Health Care,5,0.007575757575757576
28,2023-04-28,PODD,PODD,Health Care,5,0.007575757575757576
28,2023-04-28,REGN,REGN,Health Care,5,0.007575757575757576
28,2023-04-28,SYK,SYK,Health Care,5,0.007575757575757576
28,2023-04-28,BA,BA,Industrials,5,0.006060606060606061
28,2023-04-28,CMI,CMI,Industrials,5,0.006060606060606061
28,2023-04-28,CPRT,CPRT,Industrials,5,0.006060606060606061
28,2023-04-28,DAY,CDAY,Industrials,5,0.006060606060606061
28,2023-04-28,GE,GE,Industrials,5,0.006060606060606061
28,2023-04-28,GWW,GWW,Industrials,5,0.006060606060606061
28,2023-04-28,IR,IR,Industrials,5,0.006060606060606061
28,2023-04-28,ITW,ITW,Industrials,5,0.006060606060606061
28,2023-04-28,PCAR,PCAR,Industrials,5,0.006060606060606061
28,2023-04-28,PH,PH,Industrials,5,0.006060606060606061
28,2023-04-28,PWR,PWR,Industrials,5,0.006060606060606061
28,2023-04-28,TDG,TDG,Industrials,5,0.006060606060606061
28,2023-04-28,TT,TT,Industrials,5,0.006060606060606061
28,2023-04-28,URI,URI,Industrials,5,0.006060606060606061
28,2023-04-28,XYL,XYL,Industrials,5,0.006060606060606061
28,2023-04-28,ADI,ADI,Information Technology,5,0.007575757575757576
28,2023-04-28,ANET,ANET,Information Technology,5,0.007575757575757576
28,2023-04-28,CDNS,CDNS,Information Technology,5,0.007575757575757576
28,2023-04-28,ENPH,ENPH,Information Technology,5,0.007575757575757576
28,2023-04-28,FICO,FICO,Information Technology,5,0.007575757575757576
28,2023-04-28,FSLR,FSLR,Information Technology,5,0.007575757575757576
28,2023-04-28,MCHP,MCHP,Information Technology,5,0.007575757575757576
28,2023-04-28,MPWR,MPWR,Information Technology,5,0.007575757575757576
28,2023-04-28,MSI,MSI,Information Technology,5,0.007575757575757576
28,2023-04-28,NVDA,NVDA,Information Technology,5,0.007575757575757576
28,2023-04-28,ON,ON,Information Technology,5,0.007575757575757576
28,2023-04-28,SNPS,SNPS,Information Technology,5,0.007575757575757576
28,2023-04-28,ALB,ALB,Materials,5,0.018181818181818184
28,2023-04-28,APD,APD,Materials,5,0.018181818181818184
28,2023-04-28,DD,DD,Materials,5,0.018181818181818184
28,2023-04-28,LIN,LIN,Materials,5,0.018181818181818184
28,2023-04-28,STLD,STLD,Materials,5,0.018181818181818184
28,2023-04-28,EQIX,EQIX,Real Estate,5,0.015151515151515152
28,2023-04-28,IRM,IRM,Real Estate,5,0.015151515151515152
28,2023-04-28,O,O,Real Estate,5,0.015151515151515152
28,2023-04-28,REG,REG,Real Estate,5,0.015151515151515152
28,2023-04-28,SPG,SPG,Real Estate,5,0.015151515151515152
28,2023-04-28,VICI,VICI,Real Estate,5,0.015151515151515152
28,2023-04-28,AES,AES,Utilities,5,0.015151515151515152
28,2023-04-28,CEG,CEG,Utilities,5,0.015151515151515152
28,2023-04-28,EIX,EIX,Utilities,5,0.015151515151515152
28,2023-04-28,NEE,NEE,Utilities,5,0.015151515151515152
28,2023-04-28,PCG,PCG,Utilities,5,0.015151515151515152
28,2023-04-28,PNW,PNW,Utilities,5,0.015151515151515152
29,2023-05-31,IPG,IPG,Communication Services,5,0.022727272727272728
29,2023-05-31,META,META,Communication Services,5,0.022727272727272728
29,2023-05-31,NFLX,NFLX,Communication Services,5,0.022727272727272728
29,2023-05-31,OMC,OMC,Communication Services,5,0.022727272727272728
29,2023-05-31,CMG,CMG,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,DHI,DHI,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,LEN,LEN,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,LVS,LVS,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,NVR,NVR,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,ORLY,ORLY,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,PHM,PHM,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,SBUX,SBUX,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,ULTA,ULTA,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,WYNN,WYNN,Consumer Discretionary,5,0.009090909090909092
29,2023-05-31,CAG,CAG,Consumer Staples,5,0.012987012987012986
29,2023-05-31,GIS,GIS,Consumer Staples,5,0.012987012987012986
29,2023-05-31,HSY,HSY,Consumer Staples,5,0.012987012987012986
29,2023-05-31,LW,LW,Consumer Staples,5,0.012987012987012986
29,2023-05-31,MDLZ,MDLZ,Consumer Staples,5,0.012987012987012986
29,2023-05-31,MNST,MNST,Consumer Staples,5,0.012987012987012986
29,2023-05-31,SJM,SJM,Consumer Staples,5,0.012987012987012986
29,2023-05-31,HES,HES,Energy,5,0.022727272727272728
29,2023-05-31,MPC,MPC,Energy,5,0.022727272727272728
29,2023-05-31,SLB,SLB,Energy,5,0.022727272727272728
29,2023-05-31,XOM,XOM,Energy,5,0.022727272727272728
29,2023-05-31,ACGL,ACGL,Financials,5,0.006493506493506493
29,2023-05-31,AFL,AFL,Financials,5,0.006493506493506493
29,2023-05-31,AJG,AJG,Financials,5,0.006493506493506493
