analysis_month_number,positive_winner_sectors,winner_beats_sector_baseline_count,mean_winner_sector_return,cross_sector_winner_return_std,mean_winner_active_vs_sector,cross_sector_active_return_std,commonality_factor_equal_weight_residual,positive_residual_sector_count,cross_sector_residual_std
38,10,6,0.04838652984250758,0.03944240562750389,-0.0012790708386482565,0.021688841180489027,6.43981556931439e-05,6,0.01914976596832272
39,1,7,-0.047788299355187774,0.029978523863102707,-0.0032617722793363483,0.019356465015064026,-0.004769181845790811,3,0.019075045334014468
40,10,6,0.039430420882591175,0.04008487127252159,0.008478578048744025,0.029775574254087275,0.0055399871344600305,7,0.031328742998095495
41,6,7,0.004304229928524182,0.04393089265259407,0.011297317551423752,0.021807065427924762,0.003482819734323546,6,0.022124784134394015
42,8,3,0.013518822694877926,0.047294997043729456,-0.03004452372753187,0.038173978477300495,-0.024609353864291104,3,0.0366316263312271
43,9,9,0.04234074220689004,0.033550877561811736,0.018955205361129546,0.024623008473613147,0.020204702480595246,9,0.024461189272799104
44,9,6,0.0329160314070259,0.049648308684651296,0.01171096766009071,0.03044533967651917,0.013155947340316306,7,0.03206108591063558
45,6,8,0.004547995325060518,0.0455448589706498,0.019994717656965783,0.037543165246523694,0.019366361172519525,8,0.0360774166291465
46,11,9,0.08053397451369931,0.04344199057170497,0.021260949513135684,0.022446499519347622,0.02154654144235739,7,0.022070177610192254
47,1,3,-0.0656686149343931,0.035935365225165126,-0.0005327599826768326,0.02294574769873935,-0.0059751641454837915,3,0.023521100590851888
48,11,9,0.05789314946513114,0.035676056157441446,0.02627061414507025,0.03779256478177175,0.025269800301936148,9,0.037112996419577333
49,6,5,-0.0017189981321369596,0.04472700429868913,-0.004308488232532596,0.03899535958362796,-2.5337452551444826e-06,6,0.03693004324059064
50,1,1,-0.05446672448831032,0.03934002357764966,-0.029532659545657338,0.025126717387110194,-0.02537312704171858,1,0.025584863458193583
51,5,8,-0.007856166323032456,0.041727797481912264,0.02094905914591886,0.035980010253121565,0.01824216944852403,8,0.0363430029603078
52,9,7,0.03772083653293618,0.045176429577703826,0.0005631664919076466,0.03849090609342879,-0.005056367658122742,6,0.039257423221332424
53,9,5,0.025389063528097965,0.03095727239884578,-0.004988360575920914,0.020179058238736065,-0.010812540835162438,2,0.018022528636857077
54,6,6,0.004546571088621331,0.04262185001969279,-0.0038177576975807702,0.031578341997117364,-0.006312806259365922,6,0.03449403036240922
55,8,2,0.009705679622807039,0.04249825505281266,-0.019845199486291824,0.03237301149542765,-0.017518548572561878,2,0.035072625216966705
56,9,9,0.05221763450147685,0.06097920397968075,0.0432110088527014,0.03771325873235685,0.03680428906926206,9,0.037695176475185985
57,5,5,-0.021349280860135458,0.04253200146353826,-0.0049366122082268185,0.02600235966328059,-0.014780337517381807,3,0.02891385202191973
58,7,5,0.02205328304807207,0.04507009310605877,-0.0007977707007008534,0.03004863991231875,0.0031069545891763916,4,0.027626625521064874
59,6,4,-0.0038089802681636965,0.051411352265653985,-0.00430401346394731,0.0444242131697864,-0.004679065300044145,3,0.043921215657127366
