security_key,project_ticker,winner_months,first_winner_month,last_winner_month,eligible_months,gics_sectors_seen,winner_sector_count,latest_winner_sector,max_consecutive_winner_streak,winner_share_of_eligible_months
AVY,AVY,5,5,42,60,Materials,1,Materials,3,0.08333333333333333
INTC,INTC,5,36,60,60,Information Technology,1,Information Technology,3,0.08333333333333333
STZ,STZ,5,3,40,60,Consumer Staples,1,Consumer Staples,3,0.08333333333333333
VTRS,VTRS,5,27,48,60,Health Care,1,Health Care,3,0.08333333333333333
TKO,TKO,5,51,58,10,Communication Services,1,Communication Services,2,0.5
ADI,ADI,5,20,28,60,Information Technology,1,Information Technology,2,0.08333333333333333
ESS,ESS,5,35,51,60,Real Estate,1,Real Estate,2,0.08333333333333333
KEYS,KEYS,5,9,26,60,Information Technology,1,Information Technology,2,0.08333333333333333
MCHP,MCHP,5,3,32,60,Information Technology,1,Information Technology,2,0.08333333333333333
MSFT,MSFT,5,11,35,60,Information Technology,1,Information Technology,2,0.08333333333333333
SNA,SNA,5,3,52,60,Industrials,1,Industrials,2,0.08333333333333333
UPS,UPS,5,1,15,60,Industrials,1,Industrials,2,0.08333333333333333
APP,APP,4,57,60,4,Information Technology,1,Information Technology,4,1.0
EME,EME,4,57,60,4,Industrials,1,Industrials,4,1.0
HOOD,HOOD,4,57,60,4,Financials,1,Financials,4,1.0
SBNY,SBNY,4,12,15,15,Financials,1,Financials,4,0.26666666666666666
ABMD,ABMD,4,1,4,23,Health Care,1,Health Care,4,0.17391304347826086
WBA,WBA,4,8,11,55,Consumer Staples,1,Consumer Staples,4,0.07272727272727272
CSCO,CSCO,4,52,55,60,Information Technology,1,Information Technology,4,0.06666666666666667
IFF,IFF,4,44,47,60,Materials,1,Materials,4,0.06666666666666667
ALXN,ALXN,4,1,6,6,Health Care,1,Health Care,3,0.6666666666666666
KVUE,KVUE,4,50,54,20,Consumer Staples,1,Consumer Staples,3,0.2
ABNB,ABNB,4,34,41,28,Consumer Discretionary,1,Consumer Discretionary,3,0.14285714285714285
WBD,WBD,4,56,60,45,Communication Services,1,Communication Services,3,0.08888888888888889
EMN,EMN,4,1,46,58,Materials,1,Materials,3,0.06896551724137931
AOS,AOS,4,12,35,60,Industrials,1,Industrials,3,0.06666666666666667
EA,EA,4,22,26,60,Communication Services,1,Communication Services,3,0.06666666666666667
GEN,GEN,4,14,52,60,Information Technology,1,Information Technology,3,0.06666666666666667
KSU,KSU,4,4,11,11,Industrials,1,Industrials,2,0.36363636363636365
UA,UA,4,5,9,17,Consumer Discretionary,1,Consumer Discretionary,2,0.23529411764705882
UAA,UAA,4,5,9,17,Consumer Discretionary,1,Consumer Discretionary,2,0.23529411764705882
SEDG,SEDG,4,19,25,24,Information Technology,1,Information Technology,2,0.16666666666666666
AAP,AAP,4,11,17,31,Consumer Discretionary,1,Consumer Discretionary,2,0.12903225806451613
FMC,FMC,4,20,25,50,Materials,1,Materials,2,0.08
MKTX,MKTX,4,1,29,56,Financials,1,Financials,2,0.07142857142857142
AWK,AWK,4,1,5,60,Utilities,1,Utilities,2,0.06666666666666667
BAC,BAC,4,11,42,60,Financials,1,Financials,2,0.06666666666666667
BXP,BXP,4,40,47,60,Real Estate,1,Real Estate,2,0.06666666666666667
HAL,HAL,4,3,33,60,Energy,1,Energy,2,0.06666666666666667
KO,KO,4,15,51,60,Consumer Staples,1,Consumer Staples,2,0.06666666666666667
L,L,4,18,60,60,Financials,1,Financials,2,0.06666666666666667
LYB,LYB,4,3,35,60,Materials,1,Materials,2,0.06666666666666667
PRU,PRU,4,16,42,60,Financials,1,Financials,2,0.06666666666666667
SBUX,SBUX,4,26,51,60,Consumer Discretionary,1,Consumer Discretionary,2,0.06666666666666667
ZTS,ZTS,4,13,37,60,Health Care,1,Health Care,2,0.06666666666666667
DHR,DHR,4,2,42,60,Health Care,1,Health Care,1,0.06666666666666667
STT,STT,4,28,59,60,Financials,1,Financials,1,0.06666666666666667
WTW,WTW,4,26,52,60,Financials,1,Financials,1,0.06666666666666667
APO,APO,3,48,50,13,Financials,1,Financials,3,0.23076923076923078
DISCA,DISCA,3,2,4,15,Communication Services,1,Communication Services,3,0.2
ERIE,ERIE,3,45,47,16,Financials,1,Financials,3,0.1875
NLSN,NLSN,3,19,21,21,Industrials,1,Industrials,3,0.14285714285714285
FBHS,FBHS,3,2,4,23,Industrials,1,Industrials,3,0.13043478260869565
QRVO,QRVO,3,3,5,47,Information Technology,1,Information Technology,3,0.06382978723404255
AEE,AEE,3,51,53,60,Utilities,1,Utilities,3,0.05
CMCSA,CMCSA,3,32,34,60,Communication Services,1,Communication Services,3,0.05
COO,COO,3,32,34,60,Health Care,1,Health Care,3,0.05
HD,HD,3,12,14,60,Consumer Discretionary,1,Consumer Discretionary,3,0.05
HOLX,HOLX,3,2,4,60,Health Care,1,Health Care,3,0.05
JNJ,JNJ,3,58,60,60,Health Care,1,Health Care,3,0.05
SPGI,SPGI,3,36,38,60,Financials,1,Financials,3,0.05
STE,STE,3,33,35,60,Health Care,1,Health Care,3,0.05
WEC,WEC,3,52,54,60,Utilities,1,Utilities,3,0.05
EXE,EXE,3,55,60,10,Energy,1,Energy,2,0.3
XLNX,XLNX,3,1,13,13,Information Technology,1,Information Technology,2,0.23076923076923078
CERN,CERN,3,14,17,17,Health Care,1,Health Care,2,0.17647058823529413
LUMN,LUMN,3,12,19,26,Communication Services,1,Communication Services,2,0.11538461538461539
FRC,FRC,3,1,11,28,Financials,1,Financials,2,0.10714285714285714
EPAM,EPAM,3,12,26,49,Information Technology,1,Information Technology,2,0.061224489795918366
AEP,AEP,3,44,60,60,Utilities,1,Utilities,2,0.05
CDW,CDW,3,13,27,60,Information Technology,1,Information Technology,2,0.05
CTRA,CTRA,3,1,20,60,Energy,1,Energy,2,0.05
DOV,DOV,3,11,14,60,Industrials,1,Industrials,2,0.05
FIS,FIS,3,42,47,60,Financials,1,Financials,2,0.05
SBAC,SBAC,3,1,54,60,Real Estate,1,Real Estate,2,0.05
TMO,TMO,3,1,12,60,Health Care,1,Health Care,2,0.05
TYL,TYL,3,47,51,60,Information Technology,1,Information Technology,2,0.05
AAL,AAL,3,5,10,44,Industrials,1,Industrials,1,0.06818181818181818
CAG,CAG,3,2,29,60,Consumer Staples,1,Consumer Staples,1,0.05
CINF,CINF,3,5,48,60,Financials,1,Financials,1,0.05
UNP,UNP,3,16,21,60,Industrials,1,Industrials,1,0.05
UNM,UNM,2,5,6,8,Financials,1,Financials,2,0.25
SOLV,SOLV,2,54,55,10,Health Care,1,Health Care,2,0.2
INFO,INFO,2,12,13,13,Industrials,1,Industrials,2,0.15384615384615385
IPGP,IPGP,2,1,2,17,Information Technology,1,Information Technology,2,0.11764705882352941
OGN,OGN,2,18,19,17,Health Care,1,Health Care,2,0.11764705882352941
LULU,LULU,2,37,38,27,Consumer Discretionary,1,Consumer Discretionary,2,0.07407407407407407
CPT,CPT,2,16,17,45,Real Estate,1,Real Estate,2,0.044444444444444446
BWA,BWA,2,27,28,50,Consumer Discretionary,1,Consumer Discretionary,2,0.04
ACN,ACN,2,13,14,60,Information Technology,1,Information Technology,2,0.03333333333333333
