security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution,winner_months,eligible_months,winner_share_of_eligible_months,max_consecutive_winner_streak,winner_sector_count,latest_winner_sector,research_priority_rank,research_priority_band
HCA,HCA,Health Care,26,-0.0006488873944905,0.0097557636738931,-2.4957207480406423e-05,0.0011544088473478,-0.0008429418761639,0.0031071516561368,0.0006488873944905,0.5068257789520295,27,60,0.45,13,1,Health Care,90,TIER_3_REMAINDER
PGR,PGR,Financials,29,0.0007321002648015,0.0096763215660116,2.5244836717293457e-05,0.0009597412489507,-0.0007000066449994,0.0030818498258217,0.0007321002648015,0.5099076287778512,29,60,0.4833333333333333,13,1,Financials,91,TIER_3_REMAINDER
CNP,CNP,Utilities,22,0.0042640664553286,0.0096598021543213,0.0001938212025149,0.0010187529742682,-0.0007644054966411,0.0030765884932282,0.0042640664553286,0.5129842172710795,22,60,0.3666666666666666,11,1,Utilities,92,TIER_3_REMAINDER
LW,LW,Consumer Staples,18,0.001164081111606,0.0096144142798469,6.467117286700546e-05,0.0016675876417145,-0.0015830410999528,0.0030621327300449,0.001164081111606,0.5160463500011244,18,60,0.3,14,1,Consumer Staples,93,TIER_3_REMAINDER
DISCA,DISCA,Communication Services,3,-0.0095212504800214,0.0095212504800214,-0.0031737501600071,-0.0028507520794393,-0.0036017375127497,0.0030324606239345,0.0095212504800214,0.519078810625059,3,15,0.2,3,1,Communication Services,94,TIER_3_REMAINDER
HSY,HSY,Consumer Staples,18,0.000858884996926,0.0095054424567334,4.771583316255791e-05,0.001141657368697,-0.0012605842663615,0.0030274258642395,0.000858884996926,0.5221062364892985,18,60,0.3,15,1,Consumer Staples,95,TIER_3_REMAINDER
ON,ON,Information Technology,17,0.001529269035353,0.0094699168580884,8.995700207958879e-05,0.0010921050631949,-0.0018736124306324,0.0030161111761889,0.001529269035353,0.5251223476654875,17,43,0.3953488372093023,17,1,Information Technology,96,TIER_3_REMAINDER
VLO,VLO,Energy,7,-0.0043570190712041,0.0093673893807357,-0.0006224312958863,0.0013955883437572,-0.0046649022890063,0.0029834567954859,0.0043570190712041,0.5281058044609734,8,60,0.1333333333333333,4,1,Energy,97,TIER_3_REMAINDER
FOXA,FOXA,Communication Services,10,0.0012426549381579,0.009354648005413,0.0001242654938157,0.0025239833380734,-0.002381264220219,0.0029793987445984,0.0012426549381579,0.5310852032055718,10,60,0.1666666666666666,5,1,Communication Services,98,TIER_3_REMAINDER
DD,DD,Materials,7,-0.00137295555319,0.0092981446448568,-0.0001961365075985,0.0017670327753257,-0.0032191994480853,0.0029614027664056,0.00137295555319,0.5340466059719775,7,60,0.1166666666666666,3,1,Materials,99,TIER_3_REMAINDER
