security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution,winner_months,eligible_months,winner_share_of_eligible_months,max_consecutive_winner_streak,winner_sector_count,latest_winner_sector,research_priority_rank,research_priority_band
COR,COR,Health Care,31,0.0017152861202171,0.0091905457676551,5.533181032958497e-05,0.0009341266537758,-0.0005338035440647,0.0029271331755595,0.0017152861202171,0.536973739147537,32,60,0.5333333333333333,11,1,Health Care,100,TIER_3_REMAINDER
PKG,PKG,Materials,12,-0.0014814435878349,0.0091603644704317,-0.0001234536323195,0.0009715270411172,-0.0019908812100946,0.0029175206151504,0.0014814435878349,0.5398912597626874,12,60,0.2,5,1,Materials,101,TIER_3_REMAINDER
DECK,DECK,Consumer Discretionary,9,-0.0026332280869272,0.009129554888734,-0.0002925808985474,0.00275225892397,-0.0018020719132288,0.0029077079499407,0.0026332280869272,0.5427989677126281,9,22,0.4090909090909091,7,1,Consumer Discretionary,102,TIER_3_REMAINDER
STX,STX,Information Technology,20,0.0044042299566752,0.0090834786267476,0.0002202114978337,0.0024130057605511,-0.0008638866208336,0.0028930329395032,0.0044042299566752,0.5456920006521314,21,60,0.35,11,1,Information Technology,103,TIER_3_REMAINDER
NWSA,NWSA,Communication Services,12,-0.0012520255300471,0.0090658367219852,-0.0001043354608372,0.0016001727381209,-0.0019624214295487,0.0028874140996633,0.0012520255300471,0.5485794147517948,12,60,0.2,9,1,Communication Services,104,TIER_3_REMAINDER
BSX,BSX,Health Care,28,0.0041178239953322,0.0090300161157445,0.0001470651426904,0.0008340403074304,-0.0006475035220198,0.0028760054534799,0.0041178239953322,0.5514554202052747,28,60,0.4666666666666667,25,1,Health Care,105,TIER_3_REMAINDER
TTWO,TTWO,Communication Services,8,-0.0073588268935571,0.0088788372055883,-0.0009198533616946,0.0004399411172756,-0.0030553860350648,0.0028278558860276,0.0073588268935571,0.5542832760913023,8,60,0.1333333333333333,3,1,Communication Services,106,TIER_3_REMAINDER
DXCM,DXCM,Health Care,11,-0.0069884417496159,0.0087480760923764,-0.0006353128863287,0.000607666571124,-0.0020968930825731,0.0027862092632663,0.0069884417496159,0.5570694853545687,11,60,0.1833333333333333,4,1,Health Care,107,TIER_3_REMAINDER
DFS,DFS,Financials,21,0.0028659258994945,0.0086929866687971,0.0001364726618806,0.0010284521112973,-0.0008964323998549,0.0027686636154388,0.0028659258994945,0.5598381489700076,21,52,0.4038461538461538,10,1,Financials,108,TIER_3_REMAINDER
GRMN,GRMN,Consumer Discretionary,15,0.0005070450225853,0.0086755659772051,3.3803001505686995e-05,0.0013407962453898,-0.0010984235348601,0.0027631152306542,0.0005070450225853,0.5626012642006618,15,60,0.25,13,1,Consumer Discretionary,109,TIER_3_REMAINDER
DHI,DHI,Consumer Discretionary,17,0.0002756572726397,0.0086618917096752,1.6215133684692425e-05,0.0010907863019151,-0.0008493227339986,0.0027587600592476,0.0002756572726397,0.5653600242599094,17,60,0.2833333333333333,13,1,Consumer Discretionary,110,TIER_3_REMAINDER
CMG,CMG,Consumer Discretionary,16,-0.0016555652282496,0.0085823992111158,-0.0001034728267656,0.0014003807542734,-0.0013420570258386,0.0027334421798067,0.0016555652282496,0.5680934664397161,16,60,0.2666666666666666,5,1,Consumer Discretionary,111,TIER_3_REMAINDER
SHW,SHW,Materials,11,-0.0044047329218378,0.0084554061509674,-0.0004004302656216,0.0015836329615973,-0.0015546601306274,0.0026929956591295,0.0044047329218378,0.5707864620988458,11,60,0.1833333333333333,4,1,Materials,112,TIER_3_REMAINDER
AJG,AJG,Financials,25,0.0002284673395462,0.0084013206813757,9.138693581851372e-06,0.0008173690462695,-0.000989216659137,0.0026757697645679,0.0002284673395462,0.5734622318634137,25,60,0.4166666666666667,11,1,Financials,113,TIER_3_REMAINDER
WDC,WDC,Information Technology,11,0.0049694726502482,0.0083131556219904,0.0004517702409316,0.0029832030244497,-0.0007905080457659,0.0026476897270188,0.0049694726502482,0.5761099215904326,12,60,0.2,6,1,Information Technology,114,TIER_3_REMAINDER
SMCI,SMCI,Information Technology,8,-0.0073273459959787,0.0083017104265846,-0.0009159182494973,0.0004871822153029,-0.0026599973981777,0.0026440445015861,0.0073273459959787,0.5787539660920188,8,22,0.3636363636363636,6,1,Information Technology,115,TIER_3_REMAINDER
ORCL,ORCL,Information Technology,18,-0.0016887381667875,0.0082335941897999,-9.38187870437502e-05,0.001217965599439,-0.0012787967055196,0.0026223498926339,0.0016887381667875,0.5813763159846527,18,60,0.3,5,1,Information Technology,116,TIER_3_REMAINDER
ECL,ECL,Materials,13,0.0014350296222812,0.0082111623769791,0.0001103868940216,0.0014027303049778,-0.0010601458012411,0.0026152054960816,0.0014350296222812,0.5839915214807343,13,60,0.2166666666666666,5,1,Materials,117,TIER_3_REMAINDER
PCG,PCG,Utilities,17,0.0005453137822097,0.008197970128262,3.207728130645701e-05,0.0011316230903461,-0.0008347258878927,0.0026110038447481,0.0005453137822097,0.5866025253254825,17,39,0.4358974358974359,17,1,Utilities,118,TIER_3_REMAINDER
NEE,NEE,Utilities,9,-0.0078206342896762,0.0081732932014339,-0.0008689593655195,0.0001763294558788,-0.002450414008367,0.0026031443929794,0.0078206342896762,0.589205669718462,9,60,0.15,4,1,Utilities,119,TIER_3_REMAINDER
OKE,OKE,Energy,8,0.0010771355458583,0.0081615219298454,0.0001346419432322,0.0017848992851339,-0.0017609422456107,0.0025993953142569,0.0010771355458583,0.591805065032719,8,60,0.1333333333333333,3,1,Energy,120,TIER_3_REMAINDER
IDXX,IDXX,Health Care,17,0.0020880082442926,0.008051513469257,0.0001228240143701,0.0009827719716857,-0.0007239035983295,0.0025643582856929,0.0020880082442926,0.5943694233184119,18,60,0.3,9,1,Health Care,121,TIER_3_REMAINDER
GDDY,GDDY,Information Technology,13,0.0005494132184547,0.0080352848623199,4.226255526575035e-05,0.0010264674726926,-0.0008277866519264,0.0025591895726524,0.0005494132184547,0.5969286128910644,13,19,0.6842105263157895,13,1,Information Technology,122,TIER_3_REMAINDER
MPWR,MPWR,Information Technology,15,-0.0049480735844416,0.0080244602647611,-0.0003298715722961,0.0007120540561758,-0.0021259701114017,0.002555742003876,0.0049480735844416,0.5994843548949405,15,59,0.2542372881355932,4,1,Information Technology,123,TIER_3_REMAINDER
BBWI,BBWI,Consumer Discretionary,14,0.0027509573740256,0.0080144131878265,0.0001964969552875,0.0020347686736912,-0.000896858048891,0.0025525420707103,0.0027509573740256,0.6020368969656508,14,45,0.3111111111111111,13,1,Consumer Discretionary,124,TIER_3_REMAINDER
TKO,TKO,Communication Services,5,0.0061923821162889,0.0080142984829718,0.0012384764232577,0.0022229879423212,-0.0009109581833414,0.0025525055379087,0.0061923821162889,0.6045894025035595,5,10,0.5,2,1,Communication Services,125,TIER_3_REMAINDER
WST,WST,Health Care,18,-0.001245319771411,0.0079851988037983,-6.918443174505732e-05,0.0009266855069773,-0.0011940223320766,0.002543237466299,0.001245319771411,0.6071326399698586,18,60,0.3,7,1,Health Care,126,TIER_3_REMAINDER
PODD,PODD,Health Care,16,0.0004529791434269,0.007983676862922,2.831119646418187e-05,0.0021971536470482,-0.000888005307348,0.0025427527373456,0.0004529791434269,0.6096753927072043,16,34,0.4705882352941176,12,1,Health Care,127,TIER_3_REMAINDER
BKNG,BKNG,Consumer Discretionary,19,0.0004200364141813,0.0079687446874709,2.210717969375307e-05,0.0011561304600516,-0.0006989704912853,0.0025379969298832,0.0004200364141813,0.6122133896370875,19,60,0.3166666666666666,9,1,Consumer Discretionary,128,TIER_3_REMAINDER
DASH,DASH,Consumer Discretionary,9,0.0009747001658887,0.0079286020227786,0.000108300018432,0.0013939985152946,-0.0023308172268229,0.0025252117342542,0.0009747001658887,0.6147386013713417,9,10,0.9,9,1,Consumer Discretionary,129,TIER_3_REMAINDER
APA,APA,Energy,9,0.0028475241709227,0.0079203035837505,0.0003163915745469,0.0021478138573466,-0.0011635749318745,0.0025225687316733,0.0028475241709227,0.6172611701030151,9,60,0.15,5,1,Energy,130,TIER_3_REMAINDER
MRNA,MRNA,Health Care,7,-0.0050638920239915,0.007888779265573,-0.0007234131462845,0.0005585038636694,-0.0027892192082291,0.0025125284272227,0.0050638920239915,0.6197736985302378,7,54,0.1296296296296296,7,1,Health Care,131,TIER_3_REMAINDER
CE,CE,Materials,9,-0.0012786872141171,0.0078861826904336,-0.0001420763571241,0.0019618776216229,-0.0014724579318795,0.0025117014337638,0.0012786872141171,0.6222853999640017,9,50,0.18,7,1,Materials,132,TIER_3_REMAINDER
ACGL,ACGL,Financials,15,0.0030870037093524,0.0078561689527425,0.0002058002472901,0.0009784582659856,-0.0010911056793465,0.0025021422400511,0.0030870037093524,0.6247875422040529,15,38,0.3947368421052631,14,1,Financials,133,TIER_3_REMAINDER
UBER,UBER,Industrials,16,-0.0004622209225762,0.0078427647065329,-2.8888807661014547e-05,0.0008889803202918,-0.0010701650682971,0.0024978730688,0.0004622209225762,0.6272854152728529,17,25,0.68,11,1,Industrials,134,TIER_3_REMAINDER
CZR,CZR,Consumer Discretionary,10,-0.0007824280565354,0.0077702244224769,-7.824280565354675e-05,0.0011766369378078,-0.0012450603873149,0.0024747694275808,0.0007824280565354,0.6297601847004337,10,54,0.1851851851851851,9,1,Consumer Discretionary,135,TIER_3_REMAINDER
ALGN,ALGN,Health Care,13,-0.0023167008726883,0.0076577921278187,-0.0001782077594375,0.0007459777141756,-0.0024940646512768,0.0024389604225425,0.0023167008726883,0.6321991451229763,13,60,0.2166666666666666,10,1,Health Care,136,TIER_3_REMAINDER
LIN,LIN,Materials,11,0.000869888031964,0.0076529728126386,7.908073017855118e-05,0.0013635527519838,-0.0013419272461538,0.00243742549984,0.000869888031964,0.6346365706228163,11,60,0.1833333333333333,9,1,Materials,137,TIER_3_REMAINDER
EBAY,EBAY,Consumer Discretionary,15,0.0020655811462056,0.0076457442585457,0.000137705409747,0.0018643750474114,-0.0008150314312104,0.0024351232491324,0.0020655811462056,0.6370716938719487,16,60,0.2666666666666666,9,1,Consumer Discretionary,138,TIER_3_REMAINDER
SYF,SYF,Financials,23,0.0011619858696549,0.0075453148360332,5.052112476760634e-05,0.0010031446799055,-0.000734865508744,0.0024031370861917,0.0011619858696549,0.6394748309581404,23,60,0.3833333333333333,9,1,Financials,139,TIER_3_REMAINDER
EXC,EXC,Utilities,14,0.0033879403395521,0.0075333536456355,0.0002419957385394,0.0011805486012739,-0.0006891651774224,0.0023993275194785,0.0033879403395521,0.641874158477619,14,60,0.2333333333333333,14,1,Utilities,140,TIER_3_REMAINDER
LRCX,LRCX,Information Technology,21,0.0034871793038205,0.0075042518205293,0.0001660561573247,0.0010841123704045,-0.0004334232792479,0.0023900587644022,0.0034871793038205,0.6442642172420212,22,60,0.3666666666666666,8,1,Information Technology,141,TIER_3_REMAINDER
NCLH,NCLH,Consumer Discretionary,9,-0.0044342424830854,0.0073930245063327,-0.0004926936092317,0.0005514278257465,-0.0018855083448709,0.0023546335383445,0.0044342424830854,0.6466188507803657,9,60,0.15,2,1,Consumer Discretionary,142,TIER_3_REMAINDER
FOX,FOX,Communication Services,7,0.000918431917572,0.0072848704979325,0.0001312045596531,0.0022310722916981,-0.0024364719096768,0.0023201871415731,0.000918431917572,0.648939037921939,7,60,0.1166666666666666,7,1,Communication Services,143,TIER_3_REMAINDER
GNRC,GNRC,Industrials,12,-0.0005039714339183,0.0072810409182018,-4.199761949319595e-05,0.0018360096920105,-0.0013894419096767,0.0023189674436181,0.0005039714339183,0.6512580053655571,12,58,0.2068965517241379,10,1,Industrials,144,TIER_3_REMAINDER
BKR,BKR,Energy,10,-0.0064619527908294,0.0072617689445867,-0.0006461952790829,0.0002789650585278,-0.0031611109129411,0.0023128294367191,0.0064619527908294,0.6535708348022763,10,60,0.1666666666666666,5,1,Energy,145,TIER_3_REMAINDER
NWS,NWS,Communication Services,10,-0.0006619396758362,0.0071716380559069,-6.619396758362602e-05,0.0015597739589389,-0.0015124949085764,0.0022841232944435,0.0006619396758362,0.6558549580967198,10,60,0.1666666666666666,5,1,Communication Services,146,TIER_3_REMAINDER
GS,GS,Financials,25,0.0018045468588001,0.0070677289759827,7.218187435200628e-05,0.0006475386908077,-0.0005963392941853,0.0022510288816874,0.0018045468588001,0.6581059869784073,26,60,0.4333333333333333,10,1,Financials,147,TIER_3_REMAINDER
SNPS,SNPS,Information Technology,18,-1.7580170108474024e-05,0.0069140407292907,-9.766761171374457e-07,0.0010812146306176,-0.0010702203247206,0.0022020801057432,1.7580170108474024e-05,0.6603080670841506,18,60,0.3,6,1,Information Technology,148,TIER_3_REMAINDER
EG,EG,Financials,17,0.0024186349767164,0.006887354403583,0.0001422726456892,0.0010440102218679,-0.0012612782801423,0.0021935806725988,0.0024186349767164,0.6625016477567495,17,60,0.2833333333333333,16,1,Financials,149,TIER_3_REMAINDER
VMC,VMC,Materials,9,-0.003098593360649,0.0068581296904456,-0.0003442881511832,0.0013460677637808,-0.0014644544794305,0.0021842727784288,0.003098593360649,0.6646859205351783,9,60,0.15,3,1,Materials,150,TIER_3_REMAINDER
LVS,LVS,Consumer Discretionary,11,0.001274854028616,0.0068188686790502,0.0001158958207832,0.0012699572474002,-0.0009334243375867,0.0021717683840362,0.001274854028616,0.6668576889192145,11,60,0.1833333333333333,11,1,Consumer Discretionary,151,TIER_3_REMAINDER
UAL,UAL,Industrials,14,-0.0009586361680234,0.0067299363561193,-6.847401200167427e-05,0.0010641787539846,-0.001405535738704,0.0021434439776939,0.0009586361680234,0.6690011328969084,14,60,0.2333333333333333,11,1,Industrials,152,TIER_3_REMAINDER
ABBV,ABBV,Health Care,20,0.001670783892542,0.006680324181374,8.353919462710323e-05,0.0007160029677426,-0.0008724715293416,0.0021276428004538,0.001670783892542,0.6711287756973623,20,60,0.3333333333333333,12,1,Health Care,153,TIER_3_REMAINDER
GWW,GWW,Industrials,24,0.0025090111449596,0.0066482412437628,0.0001045421310399,0.0009247485974413,-0.0005248921063228,0.0021174245790961,0.0025090111449596,0.6732462002764584,24,60,0.4,18,1,Industrials,154,TIER_3_REMAINDER
GM,GM,Consumer Discretionary,9,0.0017713135307399,0.0066357110485801,0.0001968126145266,0.0013883259401173,-0.0012033788684138,0.0021134337878044,0.0017713135307399,0.6753596340642629,10,60,0.1666666666666666,3,1,Consumer Discretionary,155,TIER_3_REMAINDER
WRB,WRB,Financials,20,0.0001464294929678,0.0065969291495302,7.321474648390517e-06,0.0005005674430104,-0.0009356287044165,0.0021010819877928,0.0001464294929678,0.6774607160520557,21,60,0.35,11,1,Financials,156,TIER_3_REMAINDER
CRWD,CRWD,Information Technology,8,-0.0003859856947972,0.0065203798043269,-4.8248211849651485e-05,0.0013369479358367,-0.0027455811733658,0.0020767014848741,0.0003859856947972,0.6795374175369299,8,19,0.4210526315789473,4,1,Information Technology,157,TIER_3_REMAINDER
TSN,TSN,Consumer Staples,11,-0.0017324013513713,0.0064681984398125,-0.0001574910319428,0.0007190645754649,-0.0019219463363099,0.0020600820362497,0.0017324013513713,0.6815974995731796,11,60,0.1833333333333333,6,1,Consumer Staples,158,TIER_3_REMAINDER
CDNS,CDNS,Information Technology,20,0.0007317559839129,0.0064432688939084,3.658779919564512e-05,0.0005643175174869,-0.0008812068123872,0.0020521421268349,0.0007317559839129,0.6836496417000146,20,60,0.3333333333333333,7,1,Information Technology,159,TIER_3_REMAINDER
FISV,FISV,Financials | Information Technology,17,-0.0013668636685212,0.0063957657442239,-8.040374520713214e-05,0.0006163053911213,-0.0010275593988575,0.0020370126613059,0.0013668636685212,0.6856866543613206,17,60,0.2833333333333333,6,2,Financials,160,TIER_3_REMAINDER
CTRA,CTRA,Energy,3,-0.0063190382631349,0.0063190382631349,-0.0021063460877116,-0.0001650873337897,-0.0053927800614524,0.0020125754231863,0.0063190382631349,0.6876992297845069,3,60,0.05,2,1,Energy,161,TIER_3_REMAINDER
MGM,MGM,Consumer Discretionary,11,0.0002353206519776,0.0062455194581,2.1392786543419776e-05,0.0008676808878395,-0.0010577194160774,0.0019891601289605,0.0002353206519776,0.6896883899134675,11,60,0.1833333333333333,5,1,Consumer Discretionary,162,TIER_3_REMAINDER
MU,MU,Information Technology,12,-9.629803405005603e-05,0.006214352734236,-8.024836170838004e-06,0.0013394904601646,-0.0011348581397331,0.0019792337161335,9.629803405005603e-05,0.691667623629601,13,60,0.2166666666666666,5,1,Information Technology,163,TIER_3_REMAINDER
PLD,PLD,Real Estate,8,-0.001624899657477,0.0061349254303675,-0.0002031124571846,0.0009029001617126,-0.0025763647425562,0.0019539366008069,0.001624899657477,0.6936215602304079,9,60,0.15,4,1,Real Estate,164,TIER_3_REMAINDER
COF,COF,Financials,22,0.0010251090631562,0.0061321418499467,4.659586650710085e-05,0.0008296201393361,-0.0008262878180084,0.0019530500472982,0.0010251090631562,0.6955746102777062,22,60,0.3666666666666666,10,1,Financials,165,TIER_3_REMAINDER
MSI,MSI,Information Technology,18,-0.0003076486141883,0.0061225086128931,-1.7091589677128466e-05,0.0006699916265349,-0.0009954496988639,0.0019499819196287,0.0003076486141883,0.697524592197335,18,60,0.3,9,1,Information Technology,166,TIER_3_REMAINDER
TT,TT,Industrials,24,0.0006118641319543,0.0060339951321788,2.549433883143265e-05,0.0006143197233057,-0.0005685434418999,0.0019217909119962,0.0006118641319543,0.6994463831093313,24,60,0.4,13,1,Industrials,167,TIER_3_REMAINDER
XOM,XOM,Energy,5,-0.0036277489331557,0.00601319737625,-0.0007255497866311,0.0011927242215471,-0.0027188104426306,0.0019151669526694,0.0036277489331557,0.7013615500620007,5,60,0.0833333333333333,5,1,Energy,168,TIER_3_REMAINDER
MAA,MAA,Real Estate,11,-0.0023517807487052,0.0060085390296192,-0.0002137982498822,0.0006891581321527,-0.001079102409341,0.0019136832974751,0.0023517807487052,0.703275233359476,11,60,0.1833333333333333,7,1,Real Estate,169,TIER_3_REMAINDER
IP,IP,Materials,9,-0.0005894676052286,0.0059592098789135,-6.549640058095911e-05,0.0009805079888421,-0.0021211821828887,0.0018979722616778,0.0005894676052286,0.7051732056211538,9,60,0.15,6,1,Materials,170,TIER_3_REMAINDER
NOC,NOC,Industrials,11,0.0001631646002037,0.0059481792184628,1.4833145473071516e-05,0.0006755440033813,-0.0015840166090898,0.0018944590631181,0.0001631646002037,0.707067664684272,11,60,0.1833333333333333,11,1,Industrials,171,TIER_3_REMAINDER
RSG,RSG,Industrials,18,-0.0011381963972158,0.0059454076800687,-6.323313317866026e-05,0.0004928730214994,-0.0009498553562725,0.001893576344922,0.0011381963972158,0.708961241029194,18,60,0.3,12,1,Industrials,172,TIER_3_REMAINDER
GEV,GEV,Industrials,9,0.0043099228979948,0.0058607970376954,0.0004788803219994,0.0013359402782846,-0.0005155721184379,0.0018666283676683,0.0043099228979948,0.7108278693968624,10,10,1.0,10,1,Industrials,173,TIER_3_REMAINDER
KLAC,KLAC,Information Technology,25,0.0011243857221691,0.005830361360166,4.4975428886767615e-05,0.0005750554516892,-0.0006984051485589,0.0018569347886721,0.0011243857221691,0.7126848041855345,26,60,0.4333333333333333,7,1,Information Technology,174,TIER_3_REMAINDER
NI,NI,Utilities,17,-0.0007761074823478,0.0057414895670426,-4.565338131457719e-05,0.0011032366763207,-0.00050620245209,0.0018286296607069,0.0007761074823478,0.7145134338462414,17,60,0.2833333333333333,11,1,Utilities,175,TIER_3_REMAINDER
ETR,ETR,Utilities,15,0.0016010183044021,0.0056942150229681,0.0001067345536268,0.0008359471222783,-0.0005074994519136,0.0018135730046804,0.0016010183044021,0.7163270068509219,16,60,0.2666666666666666,11,1,Utilities,176,TIER_3_REMAINDER
HAL,HAL,Energy,4,0.0001453810405612,0.0056549980156002,3.63452601403091e-05,0.0016643153764151,-0.0025681088305876,0.0018010826253042,0.0001453810405612,0.7181280894762261,4,60,0.0666666666666666,2,1,Energy,177,TIER_3_REMAINDER
EXPE,EXPE,Consumer Discretionary,11,-0.0012395514637769,0.0056500957174401,-0.0001126864967069,0.0013493447921328,-0.0017383764202867,0.001799521273025,0.0012395514637769,0.7199276107492512,12,60,0.2,3,1,Consumer Discretionary,178,TIER_3_REMAINDER
BRO,BRO,Financials,17,-0.0013763721108096,0.005644673446354,-8.096306534174513e-05,0.0005179281003255,-0.0007560261572841,0.0017977943125175,0.0013763721108096,0.7217254050617687,17,52,0.3269230769230769,6,1,Financials,179,TIER_3_REMAINDER
CRL,CRL,Health Care,10,-0.0018737089354434,0.0056102203150125,-0.0001873708935443,0.0005567213372315,-0.0010664083662933,0.001786821198809,0.0018737089354434,0.7235122262605779,10,56,0.1785714285714285,9,1,Health Care,180,TIER_3_REMAINDER
FSLR,FSLR,Information Technology,10,-0.0005223959943955,0.0056093113949658,-5.223959943955278e-05,0.0014053012518569,-0.00082382045997,0.0017865317132779,0.0005223959943955,0.7252987579738559,10,37,0.2702702702702703,9,1,Information Technology,181,TIER_3_REMAINDER
WFC,WFC,Financials,21,0.0015236975613617,0.0056072551082406,7.255702673151359e-05,0.0008907591707256,-0.0006260880092959,0.0017858767984074,0.0015236975613617,0.7270846347722634,21,60,0.35,8,1,Financials,182,TIER_3_REMAINDER
IT,IT,Information Technology,18,0.0001752247523257,0.0055932338242321,9.7347084625399e-06,0.0009780932708915,-0.0007736204004657,0.0017814111043536,0.0001752247523257,0.7288660458766171,18,60,0.3,12,1,Information Technology,183,TIER_3_REMAINDER
GIS,GIS,Consumer Staples,11,-0.0001561821764402,0.0055673249029862,-1.4198379676383656e-05,0.0009294537270593,-0.0014654395366867,0.0017731592698229,0.0001561821764402,0.73063920514644,11,60,0.1833333333333333,11,1,Consumer Staples,184,TIER_3_REMAINDER
RTX,RTX,Industrials,22,0.0004069325692729,0.0054106560206073,1.8496934966954136e-05,0.0005960442800467,-0.0008953895453548,0.0017232611794611,0.0004069325692729,0.7323624663259011,23,60,0.3833333333333333,7,1,Industrials,185,TIER_3_REMAINDER
AFL,AFL,Financials,17,0.0015465427898921,0.0054100696159291,9.097310528777088e-05,0.0005480576818689,-0.0005342483603529,0.0017230744131219,0.0015465427898921,0.734085540739023,17,60,0.2833333333333333,15,1,Financials,186,TIER_3_REMAINDER
SYY,SYY,Consumer Staples,7,-0.0021528924883891,0.0054052568726979,-0.0003075560697698,0.0008992821493582,-0.0013372277714275,0.0017215415835453,0.0021528924883891,0.7358070823225683,7,60,0.1166666666666666,5,1,Consumer Staples,187,TIER_3_REMAINDER
PSA,PSA,Real Estate,11,-8.46094595984382e-05,0.0054003102052756,-7.691769054403473e-06,0.0009470788164541,-0.0015357251569881,0.0017199660999248,8.46094595984382e-05,0.7375270484224932,11,60,0.1833333333333333,10,1,Real Estate,188,TIER_3_REMAINDER
PH,PH,Industrials,25,0.0008516445387583,0.0053096625237909,3.406578155033301e-05,0.0005255669938956,-0.0003930406336157,0.0016910953622701,0.0008516445387583,0.7392181437847634,26,60,0.4333333333333333,8,1,Industrials,189,TIER_3_REMAINDER
SIVB,SIVB,Financials,13,0.0009097579644174,0.0052866897760801,6.998138187826773e-05,0.0011939568320966,-0.0009301896127947,0.001683778681231,0.0009097579644174,0.7409019224659944,13,26,0.5,13,1,Financials,190,TIER_3_REMAINDER
ZBRA,ZBRA,Information Technology,15,0.0001096333605418,0.0052685801862679,7.308890702790903e-06,0.0015147330226284,-0.0010889398677605,0.0016780108865346,0.0001096333605418,0.742579933352529,15,60,0.25,10,1,Information Technology,191,TIER_3_REMAINDER
LEN,LEN,Consumer Discretionary,15,0.000917141774182,0.0052310234998543,6.114278494547208e-05,0.0008483846227032,-0.0006221102764746,0.0016660493093286,0.000917141774182,0.7442459826618577,15,60,0.25,8,1,Consumer Discretionary,192,TIER_3_REMAINDER
BA,BA,Industrials,11,-9.745489772978587e-05,0.0052299171921072,-8.859536157253261e-06,0.0008977842039577,-0.0006396663021275,0.0016656969570102,9.745489772978587e-05,0.745911679618868,11,60,0.1833333333333333,7,1,Industrials,193,TIER_3_REMAINDER
O,O,Real Estate,12,-0.0018771719841922,0.0052250757048958,-0.0001564309986826,0.0009702057348982,-0.00085302897378,0.00166415497265,0.0018771719841922,0.747575834591518,13,60,0.2166666666666666,11,1,Real Estate,194,TIER_3_REMAINDER
MS,MS,Financials,21,0.0013035846883295,0.0052213420520445,6.207546134902549e-05,0.0004995822715255,-0.0006052839446502,0.0016629658268252,0.0013035846883295,0.7492388004183432,22,60,0.3666666666666666,7,1,Financials,195,TIER_3_REMAINDER
GPC,GPC,Consumer Discretionary,10,0.0009482246602345,0.0052169572382367,9.482246602345477e-05,0.0007491998030994,-0.0011718941203247,0.0016615692901787,0.0009482246602345,0.750900369708522,10,60,0.1666666666666666,10,1,Consumer Discretionary,196,TIER_3_REMAINDER
ATO,ATO,Utilities,13,-0.0003079673430772,0.0051863462414591,-2.368979562132634e-05,0.001069571747883,-0.0011567524020155,0.0016518198730636,0.0003079673430772,0.7525521895815857,13,60,0.2166666666666666,4,1,Utilities,197,TIER_3_REMAINDER
CPB,CPB,Consumer Staples,9,-0.0003115722749333,0.0051599797087374,-3.4619141659265964e-05,0.0011814067669398,-0.0013128250069933,0.0016434222920488,0.0003115722749333,0.7541956118736345,9,60,0.15,9,1,Consumer Staples,198,TIER_3_REMAINDER
WY,WY,Real Estate,8,-0.0031176370295928,0.0051385127050855,-0.0003897046286991,0.0005371014481934,-0.0020191489890495,0.0016365851813746,0.0031176370295928,0.7558321970550091,8,60,0.1333333333333333,3,1,Real Estate,199,TIER_3_REMAINDER
DRE,DRE,Real Estate,8,-0.0019138423845158,0.0051214011367233,-0.0002392302980644,0.000813854666647,-0.0010842251265948,0.0016311352504668,0.0019138423845158,0.757463332305476,8,21,0.3809523809523809,4,1,Real Estate,200,TIER_3_REMAINDER
KKR,KKR,Financials,10,0.0003442029833065,0.0051186069830606,3.4420298330657784e-05,0.0007487748260422,-0.0011912186522421,0.0016302453294446,0.0003442029833065,0.7590935776349207,10,19,0.5263157894736842,10,1,Financials,201,TIER_3_REMAINDER
GLW,GLW,Information Technology,15,0.0023175684005244,0.0050794610529891,0.0001545045600349,0.0013379095505227,-0.000692452503718,0.0016177775877569,0.0023175684005244,0.7607113552226776,16,60,0.2666666666666666,7,1,Information Technology,202,TIER_3_REMAINDER
ETN,ETN,Industrials,20,0.0010270055908763,0.0050535684376008,5.135027954381669e-05,0.0009022547377719,-0.0005548748309859,0.0016095309465431,0.0010270055908763,0.7623208861692208,20,60,0.3333333333333333,15,1,Industrials,203,TIER_3_REMAINDER
PANW,PANW,Information Technology,8,-0.0005574463020747,0.0050525765354633,-6.968078775934433e-05,0.0011175274898969,-0.0010160155213245,0.0016092150317186,0.0005574463020747,0.7639301012009394,8,31,0.2580645161290322,5,1,Information Technology,204,TIER_3_REMAINDER
VICI,VICI,Real Estate,13,-0.0011040938869538,0.005051822706799,-8.493029899644639e-05,0.0005016984321978,-0.0008265232883816,0.0016089749418536,0.0011040938869538,0.765539076142793,13,43,0.3023255813953488,11,1,Real Estate,205,TIER_3_REMAINDER
JCI,JCI,Industrials,21,0.0017597708746631,0.0050506737362766,8.379861307919865e-05,0.0007371800116264,-0.0006145060621923,0.0016086090016996,0.0017597708746631,0.7671476851444927,22,60,0.3666666666666666,12,1,Industrials,206,TIER_3_REMAINDER
WAT,WAT,Health Care,12,0.0017513956817048,0.0050467984548476,0.000145949640142,0.0012672188278014,-0.0006436711033724,0.0016073747480304,0.0017513956817048,0.7687550598925231,12,60,0.2,8,1,Health Care,207,TIER_3_REMAINDER
