security_key_a,ticker_a,security_key_b,ticker_b,winner_months_a,winner_months_b,cooccurring_winner_months,winner_month_jaccard
MPC,MPC,SPG,SPG,23,37,17,0.3953488372093023
ANET,ANET,WELL,WELL,39,26,17,0.3541666666666667
IRM,IRM,WELL,WELL,42,26,17,0.3333333333333333
LLY,LLY,WELL,WELL,43,26,17,0.3269230769230769
IRM,IRM,TSLA,TSLA,42,31,17,0.30357142857142855
TSLA,TSLA,LLY,LLY,31,43,17,0.2982456140350877
ALB,ALB,DVN,DVN,20,22,16,0.6153846153846154
VST,VST,WELL,WELL,17,26,16,0.5925925925925926
NFLX,NFLX,TRGP,TRGP,29,19,16,0.5
CEG,CEG,TRGP,TRGP,31,19,16,0.47058823529411764
NRG,NRG,VST,VST,33,17,16,0.47058823529411764
NRG,NRG,WMB,WMB,33,17,16,0.47058823529411764
TSLA,TSLA,LYV,LYV,31,20,16,0.45714285714285713
MPC,MPC,WMT,WMT,23,32,16,0.41025641025641024
CBRE,CBRE,WELL,WELL,29,26,16,0.41025641025641024
NFLX,NFLX,CBRE,CBRE,29,29,16,0.38095238095238093
TRGP,TRGP,ANET,ANET,19,39,16,0.38095238095238093
LYV,LYV,ANET,ANET,20,39,16,0.37209302325581395
DVN,DVN,ANET,ANET,22,39,16,0.35555555555555557
IRM,IRM,TRGP,TRGP,42,19,16,0.35555555555555557
TSLA,TSLA,COST,COST,31,30,16,0.35555555555555557
MPC,MPC,NVDA,NVDA,23,39,16,0.34782608695652173
MPC,MPC,ANET,ANET,23,39,16,0.34782608695652173
TRGP,TRGP,LLY,LLY,19,43,16,0.34782608695652173
DVN,DVN,LLY,LLY,22,43,16,0.32653061224489793
IRM,IRM,ADM,ADM,42,23,16,0.32653061224489793
LLY,LLY,ADM,ADM,43,23,16,0.32
TSLA,TSLA,ANET,ANET,31,39,16,0.2962962962962963
META,META,TRGP,TRGP,23,19,15,0.5555555555555556
DVN,DVN,LYV,LYV,22,20,15,0.5555555555555556
CF,CF,ADM,ADM,19,23,15,0.5555555555555556
NUE,NUE,ALB,ALB,26,20,15,0.4838709677419355
NFLX,NFLX,VST,VST,29,17,15,0.4838709677419355
NFLX,NFLX,WMB,WMB,29,17,15,0.4838709677419355
META,META,MPC,MPC,23,23,15,0.4838709677419355
WMB,WMB,RCL,RCL,17,30,15,0.46875
MPC,MPC,RCL,RCL,23,30,15,0.39473684210526316
FCX,FCX,SPG,SPG,19,37,15,0.36585365853658536
NUE,NUE,TSLA,TSLA,26,31,15,0.35714285714285715
FCX,FCX,NVDA,NVDA,19,39,15,0.3488372093023256
COST,COST,CBRE,CBRE,30,29,15,0.3409090909090909
CEG,CEG,CBRE,CBRE,31,29,15,0.3333333333333333
TSLA,TSLA,WMT,WMT,31,32,15,0.3125
DVN,DVN,IRM,IRM,22,42,15,0.30612244897959184
NUE,NUE,NVDA,NVDA,26,39,15,0.3
MOS,MOS,ANET,ANET,26,39,15,0.3
MOS,MOS,IRM,IRM,26,42,15,0.2830188679245283
TSLA,TSLA,SPG,SPG,31,37,15,0.2830188679245283
ANET,ANET,CBRE,CBRE,39,29,15,0.2830188679245283
MOS,MOS,LLY,LLY,26,43,15,0.2777777777777778
IRM,IRM,CBRE,CBRE,42,29,15,0.26785714285714285
LLY,LLY,CBRE,CBRE,43,29,15,0.2631578947368421
CF,CF,LYV,LYV,19,20,14,0.56
DVN,DVN,FCX,FCX,22,19,14,0.5185185185185185
DVN,DVN,CF,CF,22,19,14,0.5185185185185185
ALB,ALB,ADM,ADM,20,23,14,0.4827586206896552
WMB,WMB,WELL,WELL,17,26,14,0.4827586206896552
NUE,NUE,CF,CF,26,19,14,0.45161290322580644
NUE,NUE,LYV,LYV,26,20,14,0.4375
MOS,MOS,ALB,ALB,26,20,14,0.4375
VST,VST,CBRE,CBRE,17,29,14,0.4375
WMB,WMB,CBRE,CBRE,17,29,14,0.4375
CEG,CEG,VST,VST,31,17,14,0.4117647058823529
TSLA,TSLA,CF,CF,31,19,14,0.3888888888888889
ALB,ALB,TSLA,TSLA,20,31,14,0.3783783783783784
NFLX,NFLX,MPC,MPC,29,23,14,0.3684210526315789
MOS,MOS,CBRE,CBRE,26,29,14,0.34146341463414637
CF,CF,ANET,ANET,19,39,14,0.3181818181818182
LYV,LYV,NVDA,NVDA,20,39,14,0.3111111111111111
ALB,ALB,IRM,IRM,20,42,14,0.2916666666666667
CF,CF,LLY,LLY,19,43,14,0.2916666666666667
ADM,ADM,ANET,ANET,23,39,14,0.2916666666666667
NUE,NUE,SPG,SPG,26,37,14,0.2857142857142857
MOS,MOS,SPG,SPG,26,37,14,0.2857142857142857
ALB,ALB,LLY,LLY,20,43,14,0.2857142857142857
VST,VST,WMB,WMB,17,17,13,0.6190476190476191
LYV,LYV,ADM,ADM,20,23,13,0.43333333333333335
NUE,NUE,FCX,FCX,26,19,13,0.40625
VST,VST,COST,COST,17,30,13,0.38235294117647056
COST,COST,WMB,WMB,30,17,13,0.38235294117647056
MPC,MPC,WELL,WELL,23,26,13,0.3611111111111111
VST,VST,SPG,SPG,17,37,13,0.3170731707317073
VST,VST,NVDA,NVDA,17,39,13,0.3023255813953488
